#{"t_start": 1723435951.4743505, "env_id": "bipedal-v0"}
r,l,t
-21.448636,48,15.243574
-14.877175,44,24.856896
-13.237203,51,35.534772
-25.934148,54,47.6645
-13.250715,95,66.358216
-13.639135,41,71.537278
-16.105349,51,84.056993
-15.815569,64,95.344033
-11.978291,42,104.337397
-22.260551,44,114.920475
-23.520324,45,124.231704
57.167133,54,133.730031
-12.07515,52,143.415349
-14.523293,58,155.145725
-26.425168,49,164.727381
-26.836363,50,175.473671
-13.728271,42,182.533919
-13.210029,62,194.062697
-27.587425,35,201.479711
-29.427856,55,213.137809
-18.97014,40,220.499699
-15.968429,92,237.115717
-19.890453,53,247.851945
-20.11299,57,259.941396
-16.494022,96,278.11903
-14.475203,53,287.759952
61.597252,131,312.840614
-9.386285,54,323.68951
-20.264478,47,331.885002
-11.500747,48,338.553167
-3.866074,94,356.287452
-10.410082,53,367.549964
-12.918982,61,378.824508
-20.887701,54,390.112748
-11.723824,63,400.903858
42.376662,76,415.828274
-22.020673,48,424.731037
69.089188,109,443.013046
62.729358,114,461.87268
-14.9575,78,476.459387
53.897372,106,496.57066
-15.280743,41,503.828503
58.939253,71,516.628909
-17.115201,47,524.847813
-26.362586,35,529.877431
-22.929361,50,539.35934
69.076261,95,554.603673
-21.920762,28,558.837995
-22.438124,57,571.650777
-12.968301,49,580.916992
-1.812031,42,585.499607
-18.914666,65,597.64731
-9.884279,54,608.83884
-9.335194,46,616.379782
66.681285,82,628.301927
-5.437578,50,637.188658
5.719261,109,654.023483
83.844926,89,667.163865
-13.452756,51,676.763677
-12.997839,61,687.353649
-15.33619,51,694.676855
98.522945,310,736.515571
-7.945746,50,745.991369
-9.291297,49,752.730739
-8.608748,59,762.607306
-7.443497,49,770.919882
-20.207181,31,775.170633
92.366543,152,794.952019
-7.737722,46,802.039895
-13.290768,49,807.524871
-5.673217,45,813.975812
80.305561,103,826.149827
77.868491,79,836.75992
-4.757171,55,847.229194
69.225361,55,856.219984
-2.160716,60,863.881511
89.913448,83,878.920443
9.927405,74,890.752671
107.178016,150,911.711844
-4.668873,45,917.66144
58.157214,74,929.031615
-11.713421,58,936.564007
-5.558834,51,942.185815
1.4161,59,952.025338
-2.909034,45,960.801971
87.736429,109,975.03272
3.75781,51,981.181759
84.081309,78,994.075212
77.836853,75,1005.705314
103.84962,143,1029.575762
5.203707,53,1036.938836
97.479147,85,1049.298872
99.175099,85,1060.583758
105.334607,115,1075.813006
95.142935,86,1089.434843
97.239176,109,1105.343629
79.148298,66,1115.753734
-20.424324,34,1120.863962
98.102904,86,1131.669748
96.832482,74,1140.847046
69.16888,77,1151.309764
94.682191,75,1161.754356
-5.472945,52,1169.38458
91.957271,98,1184.449214
105.658713,99,1198.395757
84.274078,78,1207.752717
12.103458,74,1221.453195
8.053335,84,1233.664724
7.868095,82,1245.311073
-11.383337,49,1254.944788
89.394422,72,1265.606441
-6.909385,75,1275.372016
79.603642,69,1287.410898
98.755073,87,1299.293916
89.517589,76,1311.973979
84.485515,93,1326.73284
2.776639,63,1337.301228
-2.473448,53,1345.128641
88.145734,82,1359.680669
90.988609,86,1372.607276
88.846846,75,1382.41556
98.294342,83,1393.722972
98.273156,109,1410.693049
-18.107423,36,1416.331681
100.311895,121,1432.827009
102.950054,105,1450.390677
90.45176,77,1460.669945
109.525468,86,1472.791032
75.370856,58,1481.920274
104.893433,92,1494.686399
88.040242,68,1505.955353
7.616462,58,1515.942686
1.270621,55,1526.18567
9.286616,68,1535.776747
91.74443,96,1550.835053
84.94874,73,1562.761751
86.582655,70,1574.611292
8.838696,48,1585.260691
9.311754,61,1595.215762
70.596039,65,1606.383501
1.856829,50,1616.067458
81.343025,60,1627.719494
82.543449,61,1639.211747
83.24594,65,1649.216467
7.906153,69,1661.731723
84.399393,68,1672.960714
89.284463,76,1685.525324
88.910531,65,1696.661415
91.205432,68,1708.607296
109.497342,87,1722.153456
98.476023,83,1735.930875
90.857212,76,1748.729306
92.03117,77,1761.584603
80.491823,70,1772.013676
-2.068947,39,1777.672464
8.421146,23,1781.593169
15.523888,61,1789.049484
84.90909,86,1800.654229
91.469594,78,1813.879548
104.035767,84,1826.078993
97.246189,78,1836.503839
99.925184,76,1846.442995
106.113536,104,1859.417134
3.797409,44,1865.054677
114.879045,120,1880.143481
8.103081,56,1887.789486
12.1151,57,1893.339141
122.928965,114,1906.036013
100.198861,111,1919.799085
7.235355,47,1927.778099
112.583496,115,1942.520111
109.313877,97,1951.942931
171.656491,239,1977.471543
103.470539,90,1985.549042
89.980964,88,1995.187841
97.564034,93,2002.68155
4.539484,55,2008.159613
108.01365,105,2019.285657
113.654448,203,2040.816024
127.342395,178,2057.891046
134.492462,223,2072.931073
14.33062,66,2078.544077
180.963719,287,2103.173907
134.697202,125,2113.762819
119.60413,125,2123.099593
100.146582,80,2132.014287
87.14107,87,2141.071445
93.833082,88,2147.323058
124.694793,107,2158.70896
85.788069,69,2167.899183
100.183719,101,2176.228932
121.858135,109,2185.299889
54.295658,123,2195.868435
114.882976,93,2205.611375
94.312795,62,2213.753851
103.7293,87,2223.334668
52.228646,111,2235.33697
33.206013,116,2247.379461
61.306844,174,2264.454509
103.596915,83,2274.009187
99.117964,70,2280.295355
92.498135,80,2289.711022
84.362516,75,2300.224299
109.141461,80,2310.74932
105.914917,248,2339.127108
96.765078,80,2347.377568
100.505318,121,2361.690102
90.416648,220,2384.497259
91.808691,98,2389.446995
130.58031,179,2402.690741
110.886859,101,2413.192506
188.325716,312,2438.262612
85.345149,168,2452.805636
112.741802,118,2461.549045
36.079877,103,2470.884182
123.322954,161,2481.889028
154.793114,206,2499.287358
72.740792,157,2510.638907
249.739564,424,2537.305188
218.03763,396,2559.828558
100.398371,112,2570.558818
137.441105,152,2583.029024
75.644099,69,2585.981479
163.953212,228,2600.564362
130.939252,167,2617.325516
101.012715,86,2626.956871
104.009235,91,2637.851782
96.290599,89,2644.660714
1.833966,74,2652.104645
86.799914,99,2662.54803
100.120315,97,2672.36543
129.448876,184,2689.264714
118.492281,159,2705.950103
184.074353,254,2725.129787
103.552672,96,2735.542839
106.724502,90,2745.533612
103.051419,95,2753.66212
-12.548602,38,2758.698024
125.029164,136,2769.001623
121.614316,111,2779.205622
118.78563,123,2788.586335
123.799323,128,2800.339795
116.616577,103,2808.176577
117.094048,134,2823.042591
113.092216,98,2833.918023
165.232839,223,2854.268969
71.767964,197,2870.218948
21.037299,79,2882.357612
114.1466,99,2892.918849
125.278921,104,2904.72284
125.82042,129,2915.347592
132.292653,116,2930.209629
96.46382,82,2940.609002
127.434183,95,2952.200944
101.558351,84,2962.364304
127.782935,141,2977.298199
-6.638884,37,2982.189673
104.322345,101,2993.312591
104.458153,82,3004.971587
96.927729,91,3015.796252
113.571273,110,3024.776803
111.595837,104,3037.767928
124.243043,122,3052.508465
121.366176,157,3067.253096
18.484164,69,3075.868403
97.393965,115,3084.636808
116.604837,113,3097.670383
-1.131685,40,3102.085114
31.395289,89,3112.413459
135.399797,185,3130.312162
135.766895,160,3144.654855
136.974524,183,3166.563121
154.866803,250,3189.026806
102.425101,112,3198.170772
124.212455,123,3208.698286
75.287319,70,3215.082929
127.516309,122,3225.578789
110.234365,110,3234.590826
114.908835,113,3248.21482
235.829403,393,3280.770096
1.860295,47,3285.392835
121.829876,129,3300.720284
137.860934,147,3315.072765
111.091372,90,3326.469036
104.218914,98,3336.936696
182.741797,252,3363.707128
113.956388,120,3380.885363
-1.503247,35,3382.388772
97.813449,92,3388.766806
117.810907,113,3399.657811
112.928935,166,3414.714385
118.28474,118,3422.297134
88.573831,93,3433.783715
126.432778,120,3447.929129
105.202724,141,3464.983752
107.741525,93,3474.254245
113.124881,92,3486.239342
118.148776,133,3502.080945
147.686718,193,3520.532132
26.54724,80,3530.50152
3.500635,25,3533.433263
-1.991595,41,3538.380801
114.95893,102,3550.200896
141.091559,195,3571.953959
