#{"t_start": 1723435950.911362, "env_id": "bipedal-v0"}
r,l,t
-25.594949,39,12.351048
-25.64518,41,22.688267
-24.327078,54,32.994273
-16.584056,58,45.260558
-13.689471,44,55.076557
-29.726263,40,62.257787
-28.203239,44,69.968386
-20.612179,46,79.454633
-15.36373,43,88.237337
-21.530488,55,99.654411
-16.306541,47,110.119651
-19.202762,50,120.241957
-11.218126,64,133.464582
-16.226235,58,143.322006
-32.144485,33,151.923953
51.584418,88,167.331879
-21.966125,51,178.128094
-10.645884,55,188.507629
-21.257376,51,198.488025
-25.009648,45,209.329389
-5.845372,46,215.855628
-12.561017,52,224.780329
-3.468935,46,234.227999
-14.764533,43,243.030625
-23.616534,55,253.737903
-18.519124,43,262.701634
-17.068195,55,273.767001
-15.098771,114,296.180445
-13.656006,44,304.953278
55.598508,59,314.712507
60.886904,111,334.649605
-18.161266,42,342.282587
-17.697621,46,350.48864
-15.21314,48,358.87889
-24.243926,65,372.527456
-14.550883,77,387.430859
-14.729551,57,397.933591
-17.417671,42,405.477929
-16.088586,45,414.284759
-24.538822,48,423.76855
-9.047398,46,431.565831
-15.728514,51,439.969548
-17.488795,60,449.808142
63.616085,77,461.815727
-20.727574,34,469.144902
3.209317,123,491.734482
-17.121034,56,501.826977
-19.150737,44,510.936798
-11.816513,42,517.812487
-6.576887,46,526.026918
-15.916439,46,531.953816
-9.437562,56,542.16726
-16.236995,43,550.246821
-1.165382,70,561.841341
-13.793209,30,567.204468
-2.703767,66,579.685839
-18.489034,50,588.484719
69.169395,94,602.051389
-10.712612,65,616.362673
-9.302813,47,623.406568
81.756436,105,639.979798
-5.829013,45,647.544381
-8.657971,51,655.35203
-11.005019,47,660.915901
55.485591,85,676.686823
-16.116057,46,684.587802
61.035396,112,701.861337
112.449542,256,735.711673
5.917496,55,745.244277
70.474469,71,756.720677
-8.239621,93,772.671831
78.07148,70,779.222988
-1.946067,62,787.807701
-13.389673,33,792.739023
-7.47019,55,801.834585
-16.491535,48,806.111702
118.61293,307,850.697346
69.359518,94,863.749348
-6.772078,27,870.352437
-8.968276,51,878.665706
-3.585772,60,887.869807
9.566947,109,901.361664
-4.773431,59,909.342702
83.541003,68,921.016718
-2.321503,44,927.508309
84.666341,83,938.698929
77.715209,73,950.752791
-3.61143,58,959.947938
83.728744,67,967.74688
1.567391,63,977.023463
89.466918,63,987.092278
92.595944,71,999.264039
-0.128685,67,1008.229715
13.56512,109,1023.784282
92.65031,80,1038.089467
73.851122,84,1049.264938
89.212038,70,1058.898358
68.825065,50,1067.491645
92.530475,81,1076.980558
-4.776861,26,1080.084841
77.476079,74,1092.218859
85.840207,63,1102.070651
81.871215,76,1111.232588
127.348236,194,1139.034559
57.177355,51,1145.819969
84.045034,74,1157.388286
99.52627,101,1170.486784
84.165591,74,1179.697846
-16.784574,50,1188.162465
-11.336589,56,1195.017788
5.732222,56,1204.247266
-15.04671,51,1212.176696
22.24485,74,1224.082718
88.753647,83,1236.318259
88.585519,97,1250.737692
86.267508,81,1262.387603
99.776363,95,1278.439983
93.878709,77,1290.133431
95.248431,76,1301.128428
101.028046,108,1318.854489
95.474737,79,1330.294567
92.935588,74,1342.293741
97.456498,92,1357.674969
99.58656,75,1367.866709
100.050689,84,1379.725004
93.805408,102,1395.604444
99.078199,84,1408.454594
75.106476,47,1415.460664
97.082441,84,1427.355914
88.475605,78,1439.499417
2.178732,23,1443.053363
11.713388,65,1454.1463
-3.283626,23,1456.634352
95.520784,74,1466.882475
104.303201,106,1481.859017
96.973602,81,1493.110319
88.444516,68,1505.565983
102.477086,90,1519.435843
91.358953,66,1531.217936
91.051796,77,1541.61733
91.138819,78,1555.498029
9.781152,58,1564.677265
80.170792,70,1577.11005
10.463331,60,1588.140287
14.952178,56,1597.943584
74.327789,56,1608.840651
80.504741,61,1619.938932
83.273193,61,1631.718753
82.156637,68,1643.297876
91.79837,71,1655.363377
114.502865,96,1669.730736
84.760431,65,1681.504431
90.797119,68,1695.473631
87.110665,78,1707.154747
93.983737,71,1718.530667
90.270904,73,1730.458765
119.383531,93,1744.302105
92.675597,64,1755.093467
118.147173,124,1775.536496
102.408604,138,1795.054159
98.435871,76,1806.316346
18.292562,61,1816.896497
2.350838,47,1819.827493
8.568757,58,1829.228935
109.243015,103,1842.575674
96.135991,99,1855.957159
110.363346,166,1876.164539
5.828638,63,1886.251017
100.978997,119,1899.102187
118.946259,103,1911.5719
80.831549,82,1921.09968
-5.563881,60,1932.035785
97.605784,94,1942.487987
4.706667,45,1946.543157
96.801934,95,1955.876128
80.237046,81,1963.612987
98.857641,93,1974.066851
117.425721,133,1988.311384
138.768738,180,2006.039109
151.295764,190,2025.069495
110.064944,114,2037.481336
94.185198,84,2044.246946
100.855321,85,2052.609415
164.101584,318,2077.464686
126.273905,131,2089.410076
135.645637,160,2101.026888
127.438761,155,2116.941272
122.377012,267,2140.21967
125.729481,294,2169.525834
209.057742,307,2195.663302
-13.697157,32,2199.318917
32.299202,122,2213.233157
30.868107,100,2225.168877
141.635822,178,2242.881104
31.664039,95,2253.225072
109.710648,96,2262.584086
114.969829,98,2272.51619
101.228084,84,2281.458457
93.805599,80,2290.894118
95.331111,72,2300.169658
93.706207,72,2310.521182
97.790215,73,2316.387187
93.729929,74,2324.257679
71.474301,32,2328.586905
-0.3676,35,2331.794164
92.950813,75,2342.717658
104.781505,99,2353.156775
81.529022,71,2362.8444
94.222134,79,2369.473513
99.658682,92,2377.137344
93.038438,164,2391.552253
186.289864,276,2416.409467
140.762919,182,2427.419712
102.373307,107,2436.332154
84.611222,84,2445.270153
90.541253,88,2452.668015
112.874613,105,2460.510872
101.680818,98,2468.634117
71.721283,187,2483.090115
144.040431,183,2497.101927
138.629088,147,2507.519615
212.830118,298,2526.856906
104.618737,100,2531.241546
269.30152,588,2572.90108
248.417198,416,2600.338227
101.84513,94,2608.90176
113.419247,103,2619.002171
39.523937,90,2630.425822
-4.893924,33,2635.28425
85.700958,79,2642.40774
121.987176,143,2656.184735
104.593246,79,2663.836644
82.203078,71,2670.168432
150.27017,170,2686.071584
135.815912,179,2705.032342
179.471946,252,2723.08984
113.534159,106,2733.734879
100.694309,89,2744.773372
113.021309,103,2754.821216
123.271151,128,2766.676341
172.746525,396,2798.943933
12.248449,64,2803.425656
101.376318,84,2811.379494
112.381696,104,2824.209687
103.109579,107,2835.94553
123.310765,152,2851.042011
105.501116,105,2859.463698
103.916044,94,2866.99305
97.277482,93,2876.241739
8.019249,59,2883.943765
109.178375,86,2894.138445
115.449127,100,2904.694118
161.746711,181,2922.330669
122.157933,117,2936.144704
102.784108,86,2946.687876
106.577,92,2958.70145
101.243651,86,2970.072361
115.089947,102,2979.996586
-3.745152,38,2983.781809
12.517536,72,2992.448363
-1.873733,24,2995.843455
113.235503,93,3008.463584
129.600925,189,3027.374647
105.60381,86,3035.290641
132.994609,150,3055.181803
108.200316,101,3064.715542
17.442946,71,3072.757011
134.032041,163,3087.815045
97.9704,93,3097.549763
97.812723,81,3108.123631
1.813857,71,3116.290045
139.666325,158,3130.087388
142.006905,162,3144.480232
121.912373,171,3165.520849
116.135821,118,3174.869383
117.10491,108,3184.553469
44.969974,112,3195.372221
171.43331,398,3229.415317
129.882883,151,3242.932171
126.286686,147,3257.259698
-2.583528,42,3261.166492
119.848851,117,3270.436725
153.98896,248,3294.463891
4.906376,61,3302.174449
101.362512,93,3313.478419
112.46115,98,3323.359785
94.551507,93,3333.139856
118.073926,104,3344.92534
113.8457,129,3361.11064
109.485418,94,3371.475072
146.735297,207,3388.722144
113.990269,95,3398.594862
142.417931,200,3416.796169
132.96006,129,3425.757692
115.369216,94,3436.693588
0.068387,27,3439.109027
108.902332,85,3449.580296
11.021885,56,3458.142166
107.557723,91,3469.007325
134.409708,127,3484.186819
111.873114,132,3498.946772
101.578182,90,3507.445199
118.124636,140,3522.288317
121.818412,112,3535.837804
114.302771,88,3545.576887
104.945477,90,3555.935827
92.027622,77,3564.429421
114.810345,105,3577.350787
122.624162,137,3590.476806
143.527966,134,3604.095162
104.219049,123,3618.705145
99.192939,83,3630.406494
104.564766,82,3639.887001
103.805322,87,3651.711669
100.222665,80,3663.34573
3.929905,24,3665.662637
104.456407,82,3676.898503
104.859812,81,3686.640685
109.045373,103,3694.505507
114.741368,91,3707.501704
119.077978,110,3719.963388
108.430387,81,3731.601048
104.676017,80,3741.503615
123.943986,91,3754.032344
91.856521,70,3761.512786
86.527912,69,3770.552966
102.542334,83,3781.079822
116.231585,89,3792.442852
115.29825,99,3805.466382
84.656552,66,3814.99705
95.934939,76,3826.062528
100.092471,75,3836.356014
99.160005,73,3846.659842
4.669028,39,3852.220896
111.057526,85,3863.386506
101.96363,76,3874.455851
103.900947,83,3885.087733
104.262442,75,3895.981119
100.723943,69,3905.696899
108.492827,79,3917.277634
3.476144,24,3921.729953
100.191953,82,3932.767039
98.055648,73,3941.953301
105.717286,82,3951.321497
120.338799,110,3965.50771
106.178582,79,3975.407434
102.975835,88,3987.318733
103.740934,73,3997.646791
154.281617,157,4014.676893
109.644001,85,4023.771478
3.862036,38,4028.16972
96.350686,69,4038.321256
95.719008,72,4047.537464
19.309515,75,4053.96712
126.814061,124,4068.195467
109.212584,85,4079.417906
95.507092,80,4088.248924
135.030297,118,4103.141945
93.768628,71,4110.124756
105.897159,85,4122.501479
103.957112,75,4132.276835
101.855142,82,4143.418853
101.303117,78,4151.15519
-0.404403,39,4158.888631
123.939447,109,4171.205166
110.687384,86,4183.505393
105.690132,81,4193.871645
107.301016,81,4205.034551
101.924703,78,4216.164759
110.134274,92,4225.973515
110.710074,98,4238.164106
19.534338,56,4246.314529
109.836397,88,4255.848271
107.920814,88,4269.329322
100.375723,76,4280.186466
118.269375,98,4293.884564
105.74447,79,4305.979249
117.329688,90,4317.855845
123.307642,132,4334.510666
111.712569,90,4343.647717
116.443215,91,4353.976748
105.080972,78,4364.929941
98.282625,72,4375.877168
107.206943,109,4389.335363
115.297368,86,4402.850154
98.774755,73,4412.709887
102.264714,80,4423.295935
99.308937,71,4434.013216
104.232898,78,4442.226275
110.954963,92,4454.558937
112.460202,105,4470.207047
101.273215,83,4480.78697
99.041954,83,4491.89538
112.352479,110,4504.417546
95.128641,93,4515.250988
96.780477,66,4524.282179
98.794787,77,4534.173905
104.290501,83,4547.080623
111.923816,85,4558.902667
107.289674,98,4571.67549
106.628165,76,4581.531146
97.868467,75,4591.724492
103.146139,86,4601.287231
134.459014,138,4615.108661
92.342561,64,4625.780883
92.457928,68,4636.977031
107.381726,82,4647.595361
105.374924,82,4659.294499
135.468065,124,4674.314777
108.421072,84,4685.453302
94.111953,66,4694.892671
90.298858,81,4706.08573
95.986477,68,4716.395869
90.740404,68,4728.104265
91.611611,66,4738.260091
98.688588,74,4748.627413
1.197977,33,4753.400741
95.703459,78,4764.465297
106.780892,82,4775.607751
89.095482,60,4785.641617
107.533357,82,4795.629952
92.981715,74,4802.664617
103.385571,77,4813.753324
110.589978,75,4824.669768
110.842789,82,4835.889344
104.173077,79,4845.979653
114.422909,86,4860.483384
98.911028,66,4868.735276
106.242592,77,4879.154448
