#{"t_start": 1719514932.692364, "env_id": "None"}
r,l,t
29.889174,60,217.834766
5.794236,36,218.339421
27.87505,58,219.131512
18.229838,45,219.765729
65.794919,148,221.785271
7.142448,65,222.692489
122.461342,329,227.816355
20.051867,75,228.92586
23.619841,81,230.196135
6.488338,31,230.674577
28.886484,75,231.935177
3.621779,36,232.505794
60.513686,100,233.981858
8.168024,35,234.425417
15.885876,78,235.434227
77.321377,122,236.962969
67.282123,108,238.361411
44.007509,109,239.836866
47.450759,73,240.868538
17.42999,63,241.834961
76.520599,143,244.070754
36.028712,44,244.702816
91.934652,205,247.624477
63.337404,87,248.75792
67.005916,91,249.966873
42.167947,96,251.251068
37.681914,36,251.74411
9.041092,46,252.381547
6.713483,28,252.766216
46.235681,39,253.278308
51.368531,70,254.313305
36.904111,85,255.66295
63.351384,64,256.617302
6.874547,32,257.220229
26.938324,71,258.45246
33.110302,106,260.265881
8.274569,55,261.285695
64.544748,116,263.039292
42.486538,48,263.701438
5.12024,51,264.396414
43.193682,46,264.988816
30.780914,92,266.256871
40.116191,95,267.562867
39.031279,73,268.523273
1.94497,44,269.153492
19.069901,60,270.238496
57.396658,112,272.228387
16.330161,78,273.611493
33.044793,38,274.283279
36.40698,33,274.865881
5.16796,40,275.480006
47.436132,94,277.088644
36.29967,42,277.811062
58.715033,75,278.980448
65.354843,141,280.911289
23.437474,87,282.112089
52.276724,88,283.306101
9.915304,62,284.126636
1.672873,33,284.556874
23.516772,59,285.378861
54.597087,86,286.70578
9.228442,57,287.467296
34.213567,65,288.39855
3.603117,44,289.038784
61.051158,104,290.461771
29.382173,43,291.021013
35.755935,32,291.485713
48.401524,87,292.828146
62.24289,65,293.679859
67.981468,116,295.18009
60.767235,132,296.924633
75.35127,135,298.661976
22.531706,56,299.345526
1.908479,54,300.048887
18.786258,41,300.602013
50.644969,108,302.131289
76.572648,152,304.235413
75.145335,134,306.195526
24.353157,93,307.452386
41.019795,37,307.93238
33.794218,52,308.65663
34.126593,46,309.286704
37.505907,69,310.272144
7.072448,46,310.905027
62.575621,79,312.045281
28.423634,78,313.170834
83.604206,161,315.535074
30.827543,109,317.285168
45.809398,66,318.360466
82.647106,118,320.188277
18.440202,50,320.92571
74.348943,155,323.353323
34.736102,29,323.791948
54.2886,98,325.096575
51.654295,141,326.999732
56.379613,125,328.700859
26.756373,65,329.525922
14.093709,48,330.131188
38.902651,88,331.241934
12.433076,46,331.922795
32.470205,55,332.758369
65.492001,170,335.408736
19.335855,72,336.571359
70.082986,168,339.061892
35.441538,79,340.168731
19.415101,54,340.87862
34.646505,38,341.382704
72.85505,162,343.491846
19.482963,68,344.385565
72.099548,124,346.255575
50.226051,108,348.084601
38.828409,66,349.172141
10.192591,35,349.712644
52.484919,85,351.241419
32.967019,31,351.709502
74.143909,213,355.134273
65.283424,176,357.521989
12.195502,55,358.285173
13.593522,65,359.184234
27.873953,24,359.506001
58.964449,96,360.841254
64.204659,141,362.75182
83.554464,243,366.330069
56.386986,120,368.250587
44.602126,67,369.20147
84.17695,193,371.88749
88.023396,247,375.254625
33.334383,29,375.737382
31.244093,29,376.257187
99.252301,213,379.063176
77.160188,190,381.976509
9.056016,30,382.462839
32.125731,30,382.955919
33.546331,31,383.379509
33.651836,31,383.77508
12.124917,49,384.407647
44.851405,144,386.23342
22.341917,63,387.048188
105.210188,231,390.024473
86.366045,129,391.721923
31.666671,39,392.215443
19.219518,62,393.03975
10.068476,29,393.419526
71.240902,179,395.754435
20.037814,66,396.635902
7.802988,29,397.016043
17.58587,57,397.908299
24.195143,59,398.740864
52.806159,80,399.862319
53.486881,154,402.026001
78.193065,240,405.42044
52.098162,156,407.838002
45.667466,153,410.309208
15.614382,35,410.904079
39.011017,41,411.657229
31.517672,106,413.387986
22.854304,86,414.685058
36.690039,35,415.135968
82.13761,134,417.045673
9.399285,29,417.462774
68.620382,172,419.871515
6.960307,29,420.280394
27.017266,58,421.131426
19.534273,67,422.093132
21.475296,61,423.061061
32.966163,28,423.448731
7.657501,33,423.864669
71.118707,121,425.259802
3.685906,47,425.860918
38.040582,31,426.366157
14.284897,63,427.42939
96.526955,160,429.849401
68.115537,95,431.07421
88.616891,82,432.184128
68.443447,126,433.854001
34.815528,40,434.386692
32.284011,35,434.829542
67.560644,87,435.902927
54.752566,72,437.040537
35.512709,108,438.936742
7.106389,38,439.567235
19.292122,89,441.233018
31.827334,95,442.821723
32.72911,76,444.215901
28.242116,31,444.808819
5.128807,32,445.339928
93.935392,181,447.693829
34.498282,192,450.342427
48.290064,49,450.984066
9.008487,42,451.579269
14.367295,48,452.240682
17.896901,129,454.493967
65.696366,189,457.335891
65.701535,156,459.78251
36.417741,49,460.564536
32.435495,35,461.127558
32.052944,73,462.112292
53.663734,79,463.237464
80.347784,179,465.70233
53.156037,89,466.903979
88.264494,237,470.620892
22.508832,36,471.135192
23.550005,112,473.092903
62.600597,122,474.906502
38.065142,34,475.397113
42.200227,90,476.606728
63.887183,132,478.255013
60.69133,90,479.382329
76.366901,111,480.776465
88.561075,150,482.738936
53.091248,65,483.607551
97.047511,185,486.175955
40.13563,35,486.663801
21.383385,60,487.537287
63.211819,86,488.7391
78.343829,167,491.103247
45.169153,36,491.632343
49.785496,68,492.55054
36.929321,33,492.986755
44.454022,90,494.204697
15.51067,85,495.44842
90.846234,167,497.891692
22.927344,75,499.057359
58.778982,52,499.929395
9.764523,54,500.794454
26.799077,96,502.362048
51.192073,70,503.454802
70.266684,155,505.99477
41.062384,91,507.337453
24.707804,54,508.078601
65.805951,154,510.374293
38.54626,61,511.212061
52.482214,103,512.671552
13.886496,55,513.426261
15.511863,27,513.814816
37.776864,141,515.859102
64.119619,146,518.031244
17.510913,54,518.81097
7.474736,50,519.542858
34.853883,89,520.829561
12.599885,39,521.406922
38.219122,31,521.855355
12.107083,38,522.383084
57.549984,75,523.450573
50.321249,64,524.335251
10.575728,52,525.022538
79.485176,146,527.050513
32.879822,91,528.33134
32.06276,36,528.882454
12.09614,33,529.466543
38.321965,31,529.944367
25.633276,63,531.091364
62.896171,159,533.698635
8.564602,54,534.593339
42.407218,38,535.230198
42.382861,96,536.754913
43.751516,116,538.36413
65.338423,110,539.824075
39.290415,140,541.688741
53.616705,54,542.421153
22.466019,52,543.135261
59.051951,63,544.124814
78.589102,184,546.955268
89.550142,173,549.642592
53.76434,136,551.670714
46.218514,58,552.473171
31.363847,113,554.021401
70.968646,71,555.007765
19.729155,60,555.848014
46.796023,97,557.216443
75.350578,177,560.175595
36.247497,67,561.368735
24.786548,80,562.826985
66.176443,106,564.70198
28.020069,50,565.611694
27.187594,71,566.944878
40.638671,135,568.802414
109.168114,215,571.563974
67.694643,179,573.869081
59.659616,125,575.549098
30.338599,49,576.284915
37.293845,33,576.722404
44.214336,151,578.798762
82.845295,116,580.430677
71.866022,170,582.784745
24.913299,66,583.658769
36.346461,40,584.194573
34.987312,31,584.618561
36.055088,31,585.037027
107.890793,245,588.321525
162.564178,452,595.805233
38.624769,32,596.304146
144.1414,217,599.558079
106.419219,235,602.978479
28.195454,74,604.03798
122.432565,244,607.667505
31.055147,33,608.177014
39.175375,30,608.610554
35.253921,92,610.006419
30.768303,78,611.18301
30.958959,53,611.930316
23.895243,34,612.458387
8.380585,39,612.991768
32.65999,78,614.044979
47.35964,45,614.645002
34.42539,33,615.076029
87.860462,180,617.458551
11.780587,32,617.888913
37.171416,112,619.443449
71.665491,99,620.87601
29.240861,84,622.207567
30.9901,90,623.594767
62.740425,164,626.322494
80.843596,132,628.522118
33.749316,35,629.016207
21.16061,67,629.946505
82.169913,163,632.109943
26.474169,72,633.0975
50.792182,127,634.808186
45.244336,45,635.476853
12.613253,52,636.271812
50.164475,48,637.08308
57.08701,142,639.234617
59.138892,47,640.126136
112.220793,255,644.214886
47.391279,36,644.695924
69.085117,150,646.826352
77.844445,90,648.133832
26.214038,34,648.598289
85.116825,193,651.398022
52.995656,88,652.804472
37.829481,34,653.403441
22.554637,85,654.852441
24.673747,51,655.680279
12.940007,26,656.123566
34.142984,26,656.533056
32.45842,41,657.23829
89.151344,224,660.682102
86.237039,148,662.686682
87.27022,161,664.669238
47.626102,128,666.373535
15.163287,99,667.73431
47.978911,160,670.068978
33.871148,129,671.931931
7.603366,44,672.553651
19.211568,54,673.335747
42.800627,33,673.803486
17.190168,46,674.44932
70.611198,117,676.029145
27.023141,78,677.074137
29.96113,77,678.01667
12.039132,41,678.524744
13.081953,22,678.804298
19.357617,34,679.328933
62.492242,57,680.099676
26.84484,36,680.638717
48.197519,127,682.554921
119.544232,351,688.105969
134.885247,231,691.533096
6.37141,45,692.190032
35.173796,81,693.407048
14.786157,66,694.334635
48.16866,100,695.80391
140.294702,329,700.605886
27.092844,91,701.86621
11.479718,46,702.462641
88.317672,230,705.830727
138.337307,323,710.564564
43.068563,91,711.75603
48.928707,54,712.499713
34.676694,110,714.012888
43.464098,40,714.521017
69.071676,67,715.510977
277.397082,572,723.331322
41.426193,151,725.548892
37.094299,34,726.067961
23.339052,78,727.317768
85.163448,158,729.85835
47.176565,54,730.749262
30.132253,43,731.359127
48.351681,37,731.881126
90.542696,149,734.034837
14.303521,52,734.789656
34.754935,30,735.228173
76.323484,96,736.636885
41.157283,33,737.107763
42.865709,128,738.935311
28.061455,64,739.802132
88.527606,160,742.357547
42.16298,62,743.231615
48.022855,65,744.222828
39.070957,33,744.694989
71.906561,172,747.070666
43.70533,37,747.59059
80.45813,181,750.095453
60.220253,123,751.819149
55.968249,112,753.628663
90.277516,138,755.530659
26.103917,45,756.183479
68.363571,91,757.447674
32.657097,33,757.89428
37.163118,47,758.503238
44.445151,36,759.009763
66.477603,189,761.460463
36.620339,124,763.04293
11.494243,44,763.588486
38.562222,97,764.851635
23.929114,78,765.850693
64.39879,210,768.685215
46.677639,91,770.148415
37.910331,31,770.676926
100.208655,252,774.537645
35.294303,105,776.173193
50.762285,40,776.749195
50.231196,130,778.668164
57.9168,63,779.555782
31.821269,138,781.558143
43.23927,40,782.162579
47.793418,62,783.080395
40.309218,37,783.600492
97.544184,149,785.832541
84.310038,149,788.071929
45.60995,136,790.10721
66.585853,53,790.901133
45.930901,39,791.46984
20.379844,80,792.632458
66.23424,112,794.245435
68.394428,132,796.189687
57.94685,92,797.49959
41.903798,55,798.25675
58.384777,85,799.373127
75.206129,94,801.05054
99.469806,133,803.051556
27.889334,50,803.88416
46.799913,38,804.54213
51.222041,101,806.231587
87.601172,166,808.968413
35.675656,86,810.102812
70.872772,111,811.535443
34.138868,28,811.897832
107.255536,172,814.163764
60.10333,99,815.513556
39.052505,39,816.057163
34.786546,32,816.543549
41.861135,34,817.15785
