#{"t_start": 1723435951.4128275, "env_id": "bipedal-v0"}
r,l,t
-31.289132,56,18.895629
-27.460638,34,24.278751
-23.90367,58,36.249171
-22.876266,45,45.960897
-18.094169,66,57.60785
-30.479509,41,67.742839
-18.59202,49,75.509024
-21.774925,49,85.615799
-23.778673,43,93.941958
-13.291943,60,106.064753
-12.630219,49,118.31072
-7.614143,100,137.708361
-15.395708,45,145.540964
-15.79324,47,154.585301
-20.504547,43,163.405994
-22.738968,55,174.291832
-21.495037,48,183.881458
-27.452189,48,192.6823
-20.752501,51,203.408223
-25.174903,69,216.550404
-12.495299,58,225.807027
-22.954771,52,236.54206
55.447804,59,249.106144
-16.293077,52,259.395476
-18.135131,48,268.555366
-12.071346,96,287.047098
-19.865203,41,296.302767
57.855074,115,316.946015
-16.174129,44,325.702802
-17.772449,49,332.859788
-15.256233,63,345.03188
56.771707,81,359.079239
-9.036267,58,371.432541
-20.586531,70,382.619171
-21.425323,56,394.43667
-18.861816,44,402.995308
-20.150347,47,411.805391
-16.741026,47,421.309938
64.383889,115,440.328884
35.321193,62,451.983001
-24.264393,51,459.77255
84.350391,116,481.217337
-35.202045,36,487.30426
-7.414006,44,494.800993
70.681749,117,517.911563
-15.086045,70,527.984529
-16.392907,45,536.167254
-9.785615,41,543.092685
76.614716,75,555.967929
-22.04161,31,562.465014
-9.194303,45,571.045821
-11.480679,45,578.457999
-20.543164,48,584.950452
-9.140564,57,594.59184
-11.169641,46,603.364371
-18.171617,56,613.400136
53.616634,86,627.687873
-12.729254,49,635.99452
61.909517,99,651.397184
-8.523595,59,659.556922
2.500192,66,671.377347
-23.718959,34,678.753485
0.119164,112,695.475355
-7.611976,55,704.074825
-1.359436,70,714.100182
-18.786859,29,715.5348
72.225609,91,726.901378
3.060026,62,738.327214
4.892375,58,747.492175
77.880895,93,761.357289
96.889413,143,780.853419
-12.034845,43,786.649817
-7.376661,51,794.425904
87.424717,80,804.791497
88.328459,93,816.166142
74.35394,90,829.121168
80.560116,68,839.427261
73.537106,101,855.697855
78.003646,71,866.019521
-2.111649,53,875.697472
-5.186705,56,884.755099
77.200491,69,895.108877
-5.935942,69,903.879218
-10.612167,58,912.609143
-13.957235,38,918.355458
0.181025,51,926.123348
116.206574,140,943.702831
-7.871424,55,952.844759
-12.820153,27,958.293013
2.683495,61,966.460508
-0.801515,59,974.481572
71.173546,70,985.277366
88.642121,69,997.391892
-8.216162,72,1007.100236
78.67882,77,1019.367223
-6.923939,29,1022.541162
90.639898,68,1035.353053
71.606768,71,1044.410868
89.573286,84,1056.752182
-1.453888,57,1065.56554
92.437772,76,1074.280234
84.055881,67,1085.019865
102.330663,90,1095.89522
74.877144,75,1109.53431
79.668542,71,1119.615884
157.383478,255,1153.540164
88.933103,77,1163.909544
80.024095,82,1175.990559
-7.462512,60,1185.29618
105.160812,117,1202.099258
97.862774,82,1213.834467
76.228234,69,1225.596128
-12.451838,28,1229.920508
99.115213,111,1244.691774
-0.63075,52,1254.43442
90.260861,74,1266.320265
81.377791,78,1276.165462
91.811734,75,1288.92552
99.169645,81,1301.252554
91.896881,75,1313.304283
-2.465903,52,1323.330803
13.186769,66,1331.162834
105.015975,88,1345.790224
72.430503,103,1363.742113
86.319322,83,1375.5153
91.384325,74,1386.523501
99.632112,75,1396.891441
3.413447,66,1405.743138
81.248841,64,1415.626776
85.305197,66,1425.789797
87.263856,60,1432.298983
98.791788,90,1448.811918
108.969231,104,1463.884372
105.331467,80,1474.126907
89.318289,68,1484.235972
91.558601,85,1498.541708
89.177208,67,1507.422957
14.363134,60,1518.061925
86.160677,67,1529.859925
93.499379,77,1539.718005
90.90989,75,1552.359525
82.238683,64,1563.429449
2.268641,57,1573.163445
8.760947,55,1584.001052
66.364607,67,1595.893659
9.531966,59,1605.694376
79.016793,64,1618.114202
77.478901,53,1628.445819
83.520162,68,1641.206571
90.919318,71,1652.667304
13.373522,66,1664.394893
-6.197646,38,1668.455782
88.015443,59,1678.92926
88.255376,65,1690.567092
116.656098,124,1711.61445
97.254634,85,1725.64957
5.799959,49,1732.737136
86.931209,76,1745.60526
94.48046,65,1755.788209
84.933518,76,1766.977583
81.862299,69,1780.70954
130.637965,199,1807.239624
114.683096,118,1824.371593
111.740084,90,1837.281495
104.218055,87,1849.273481
23.977521,79,1858.129407
109.826243,80,1868.675337
108.523595,92,1879.618899
106.329661,114,1893.978776
132.136099,171,1915.011121
1.28517,37,1917.668057
17.853415,69,1929.457975
107.0455,117,1943.934352
23.911251,80,1950.617598
116.922874,160,1966.123004
91.81982,79,1976.151834
107.222976,121,1988.438552
132.7324,162,2003.390688
125.139968,115,2013.246431
82.809145,54,2020.220822
131.316596,137,2035.463573
4.316288,48,2039.59025
144.832553,178,2057.207955
89.280346,95,2062.549399
210.474976,391,2095.603657
176.638085,227,2115.113072
107.017591,89,2121.196177
84.684471,214,2142.152126
41.518439,119,2153.754781
103.910873,86,2164.010406
107.025581,88,2170.297048
58.446302,138,2182.994528
141.673164,154,2197.193697
111.697682,89,2206.246592
106.311176,82,2217.192458
10.412668,56,2221.44026
-8.004888,30,2227.366491
112.614201,152,2241.522985
26.43073,92,2250.655773
110.124834,95,2259.445203
142.561689,145,2276.769159
121.251488,152,2295.463511
98.716601,81,2305.006523
41.232881,132,2316.86387
112.508901,148,2335.238881
101.617091,92,2345.551262
105.63517,90,2358.51536
112.782616,141,2370.684816
87.396456,67,2376.009265
85.972574,74,2385.729955
130.177737,318,2408.361736
126.726327,145,2422.821632
96.644502,95,2427.691368
91.642582,96,2435.175568
110.08416,101,2446.182557
93.168828,88,2454.741118
143.229888,163,2466.883472
180.567562,247,2485.182076
122.855026,132,2493.342736
150.748236,301,2516.89545
211.411218,342,2538.55089
191.542161,329,2556.508496
178.183804,245,2577.522978
167.091664,206,2589.272486
121.448514,121,2595.939561
116.613534,105,2607.507646
127.604774,145,2623.297847
89.106789,70,2631.914308
-3.474284,40,2636.930626
95.934114,84,2643.609569
80.313436,94,2651.56806
101.90358,74,2660.29065
140.040976,203,2680.217282
62.367217,37,2684.12092
106.787083,89,2693.289058
100.058445,91,2700.878763
101.033678,95,2708.482987
123.001816,167,2719.717863
117.742251,147,2737.001608
113.355185,155,2751.018148
139.898722,152,2766.904009
116.670709,132,2777.095661
108.78698,112,2786.814059
223.866527,340,2816.622484
107.975355,100,2827.560967
98.924555,84,2837.403461
105.308416,99,2847.394378
108.032802,135,2857.701509
123.036265,139,2869.296791
99.094763,81,2880.912695
108.287062,103,2890.474928
116.749308,104,2903.404523
14.767167,87,2912.398114
124.348372,99,2921.166584
119.726444,95,2932.672229
94.921436,87,2944.331627
3.303287,58,2951.04072
107.066903,97,2963.182949
83.739215,69,2972.916498
107.755995,100,2981.654102
82.697517,45,2986.800504
97.431048,102,3000.151314
115.237874,108,3010.897279
121.984204,135,3025.539947
89.676705,73,3031.999171
106.819091,94,3044.53958
138.823206,177,3064.787712
130.15138,118,3078.061815
142.05356,194,3096.071154
95.58925,85,3106.207928
103.897179,105,3118.62356
130.56916,119,3128.025136
138.480912,206,3149.178169
-1.05121,35,3152.916809
108.999506,83,3161.533759
109.308311,102,3171.015832
101.580414,107,3180.13135
105.3558,128,3190.812061
129.200126,141,3204.118902
130.668182,132,3216.627723
4.201602,40,3220.432337
120.870677,149,3233.25362
107.559201,127,3245.057685
105.935315,81,3252.504121
108.302825,90,3260.010292
1.152824,25,3262.935494
103.612489,99,3270.580375
73.290133,139,3282.6089
5.857535,64,3288.929498
6.19695,57,3297.196204
93.282522,79,3304.823013
147.985116,183,3325.217239
102.165563,78,3334.613243
105.019095,81,3343.527229
115.557347,110,3356.400447
112.61918,98,3365.181883
-4.763763,28,3371.561722
2.921675,38,3375.340886
137.968029,124,3385.920854
110.420385,96,3392.40991
120.281969,120,3405.201347
153.542608,297,3429.321477
115.461122,114,3444.036501
108.801755,94,3454.179304
8.227074,44,3461.970157
11.506257,48,3467.150142
111.798905,90,3476.939229
97.201286,89,3487.134544
22.277252,71,3495.216209
108.219578,111,3507.587828
128.349627,149,3524.369821
144.636661,154,3540.176594
114.950936,96,3551.31269
23.796082,91,3562.458723
112.905826,119,3577.44043
120.184981,149,3590.869992
18.004359,68,3599.350026
102.761233,112,3610.814903
1.935933,57,3617.442991
90.510596,70,3627.14596
106.873567,86,3636.683048
113.060854,94,3649.24526
102.307084,82,3661.552533
110.763608,99,3674.880761
157.366126,208,3696.51975
100.62331,75,3705.747524
116.556664,92,3717.683627
103.551168,76,3724.72995
100.980396,84,3736.40729
98.937646,73,3745.606405
106.194893,109,3760.333702
36.450177,73,3769.463399
99.382733,76,3779.865216
101.259765,77,3790.275614
136.651454,155,3811.991698
98.887892,77,3821.385257
99.250009,80,3831.348536
97.600938,82,3842.44971
6.510337,38,3849.584496
100.711702,79,3858.937851
105.767154,83,3870.750847
112.414014,91,3883.275527
105.643875,80,3894.290449
93.755769,64,3903.309108
101.458076,75,3913.736871
103.981965,81,3926.949993
125.641624,121,3943.44881
100.255309,76,3952.723453
102.476767,89,3961.816518
117.808702,98,3976.12966
103.670881,90,3988.123512
102.250403,73,3997.857931
108.008586,84,4006.251096
109.714157,88,4016.43138
123.630757,119,4030.311683
99.612436,72,4040.042668
146.624512,171,4057.985887
117.366847,100,4072.120363
118.907526,107,4084.484904
109.584996,85,4093.983004
150.426287,164,4112.485264
102.195315,70,4123.328284
113.575542,86,4133.891237
99.862039,73,4144.271627
102.569909,85,4154.999552
107.782924,88,4165.64738
109.598646,81,4177.166876
117.505504,122,4192.036952
97.581956,72,4202.396714
100.217946,76,4212.302892
106.673058,87,4222.582085
105.073615,86,4233.3729
101.52971,81,4244.397812
109.578095,83,4253.253937
99.187074,71,4262.932173
1.520236,30,4267.739135
100.158878,74,4279.056383
102.703104,78,4289.450897
105.71303,78,4299.869783
103.82349,83,4314.277188
100.030142,80,4322.567734
102.622674,81,4332.843454
144.239954,156,4350.446174
116.087624,95,4363.567835
102.748249,82,4374.744591
117.330239,105,4387.592174
1.594351,27,4392.21846
110.479593,78,4403.813959
104.157321,91,4415.838549
111.943762,90,4427.181185
87.571333,65,4438.322053
0.451641,26,4439.598754
101.71425,74,4449.933247
93.45685,60,4459.787731
124.24003,114,4473.918822
111.675395,80,4485.108355
107.377026,84,4495.143524
113.058814,93,4505.99342
97.771367,74,4514.086904
115.214738,100,4527.365878
87.229512,64,4537.577544
103.33572,77,4548.590492
105.500441,86,4559.834584
107.303856,82,4569.389701
100.849811,73,4579.718456
111.279883,97,4593.318948
-0.846083,29,4596.32652
176.916956,230,4624.326215
104.026442,78,4635.861916
114.279855,87,4647.699
110.858292,93,4660.23028
107.625855,74,4669.997614
99.894261,80,4681.083174
105.488059,89,4691.165455
122.120492,100,4706.181541
95.771506,71,4716.536531
13.099102,51,4724.372946
91.117575,61,4733.90693
87.337592,63,4744.493339
108.440374,109,4759.212921
98.385401,78,4770.786054
106.92031,80,4780.75434
108.640831,95,4794.480388
102.193738,85,4803.528937
111.630754,77,4815.757334
102.452195,72,4825.976161
128.457581,130,4843.68032
111.811867,87,4854.318061
89.273085,64,4864.768722
101.02348,78,4874.642398
105.18611,73,4884.927815
93.491843,64,4895.664777
112.936077,87,4906.282619
93.602277,58,4914.530926
0.299532,33,4918.634226
110.919073,91,4933.927228
-2.384676,36,4938.204355
108.427451,75,4948.515908
107.439483,76,4960.169056
102.572837,73,4971.009334
108.996677,98,4981.330146
103.323431,85,4991.373654
95.239823,84,5002.892365
108.354759,80,5014.620778
100.52269,81,5026.258441
113.450352,87,5037.042411
97.650374,76,5047.441802
102.691375,75,5058.918418
98.910653,82,5069.020612
2.835703,27,5075.833882
104.414552,73,5085.038064
10.85496,40,5090.523059
114.795111,88,5104.109643
110.657305,77,5113.935818
190.700886,232,5140.386295
111.484219,74,5149.528989
99.203215,65,5159.100185
112.462214,79,5168.484788
100.03939,104,5181.719609
116.006,78,5192.647196
91.896416,67,5201.064477
97.763186,68,5210.08721
85.290201,40,5216.247795
96.633729,71,5225.502096
98.870104,73,5236.842168
4.050099,46,5241.36658
100.210572,67,5250.960565
110.109876,83,5261.501597
102.158232,73,5272.180268
133.557859,114,5286.360739
99.230058,73,5297.200927
110.084748,81,5308.310475
106.811748,81,5319.399529
115.155303,79,5330.941696
94.659459,63,5341.040239
106.143426,106,5357.752094
109.154966,77,5369.259257
115.055703,82,5380.893905
12.359223,48,5387.797832
-4.869545,32,5393.136382
107.515827,74,5403.90386
104.847932,69,5414.527978
94.652814,66,5424.619504
118.401987,93,5436.5932
102.709948,68,5448.415894
129.113871,142,5462.765875
101.234744,68,5472.40958
21.885528,61,5482.540382
145.845557,143,5500.952528
105.271846,71,5512.344754
105.469766,79,5524.499281
112.095302,76,5535.49061
99.337913,70,5546.190711
126.651095,126,5561.203311
104.282126,74,5572.70712
125.353015,103,5584.912931
107.384774,78,5594.862165
98.423282,72,5605.690247
109.641268,80,5617.904349
106.363247,96,5630.550327
103.833712,84,5638.919852
95.831297,70,5648.628751
137.151091,127,5664.86714
113.371664,78,5675.437573
113.867828,71,5687.269632
103.366104,81,5698.400205
106.425901,67,5709.238289
0.00738,30,5711.213104
98.289433,68,5721.998046
111.471669,82,5735.366936
96.200357,69,5746.037789
126.376024,131,5762.997797
110.216722,85,5775.27857
102.31904,66,5783.223042
9.125831,40,5791.529615
8.213714,47,5797.230637
122.500338,95,5811.880175
96.539838,67,5822.084512
118.194274,105,5838.753875
2.351723,27,5843.348197
112.13994,81,5854.032132
122.349173,96,5865.548808
106.294629,79,5875.529118
110.231747,75,5886.524005
107.713316,92,5901.162225
94.998363,71,5910.952076
132.963056,124,5926.640308
105.976745,76,5935.365354
118.154321,102,5948.161705
16.076065,54,5956.900308
118.232445,105,5970.02024
113.087886,87,5981.830207
100.79314,73,5991.11297
113.874232,83,6003.926743
4.369876,30,6008.041135
106.72243,79,6017.849978
117.432698,88,6026.914561
108.438665,69,6038.307102
107.39008,83,6050.092705
115.07523,85,6058.56339
104.61718,76,6067.306049
111.469626,81,6078.503953
103.336276,68,6087.126602
118.438458,94,6099.615427
102.611182,70,6108.787803
108.674346,77,6119.802999
102.827574,74,6130.242657
114.772169,106,6144.811275
6.82552,45,6150.496245
119.546117,91,6159.745458
104.347121,68,6171.014994
130.091425,110,6186.123817
110.253653,83,6197.075476
106.218324,72,6204.453971
122.657021,106,6218.002116
111.329594,81,6224.337784
15.024431,61,6230.482301
271.907667,438,6278.152874
17.035078,56,6286.325245
122.948236,107,6298.609997
131.684998,138,6314.101496
124.907935,120,6328.417715
116.146345,87,6339.942032
96.874432,71,6348.565398
107.053987,85,6359.172835
118.710487,89,6371.654348
124.000756,89,6382.286326
106.307671,72,6390.957404
96.269167,73,6400.678645
117.969184,90,6413.123165
100.174125,81,6421.969547
106.439272,75,6432.882189
112.31125,86,6446.44385
138.045798,116,6460.196419
127.67701,111,6475.408063
14.857817,62,6483.868504
89.205377,76,6493.775889
133.630893,143,6516.016042
111.287469,72,6527.439624
107.331571,77,6537.871922
119.156566,94,6551.084662
111.111799,81,6562.229455
123.379295,94,6573.738342
-3.800411,29,6580.044128
108.234048,73,6590.321237
110.610263,68,6599.987529
114.667137,78,6610.840601
108.622003,72,6621.100428
109.278076,91,6631.841884
118.473524,79,6642.907649
109.180495,79,6654.01928
107.284485,70,6664.713281
120.344911,80,6676.379347
105.724126,72,6685.406575
119.860814,85,6696.526007
115.36054,76,6706.440692
114.221775,94,6720.123559
110.417749,69,6731.467208
120.160448,83,6742.55502
8.952841,50,6752.079382
129.137337,92,6764.179544
125.185395,92,6772.902561
118.185384,84,6785.391876
107.904511,76,6796.925536
101.670602,73,6806.583298
115.95541,85,6818.882486
104.869851,74,6830.336287
103.506253,73,6840.707562
135.347378,109,6854.65575
106.999098,75,6861.150307
123.054977,107,6877.312158
114.62111,80,6888.860298
120.321016,97,6901.07972
101.064192,67,6908.423516
113.86071,73,6918.654041
105.567248,72,6928.976929
113.176784,80,6938.886194
107.407812,65,6949.056566
221.905534,295,6982.39499
111.432443,76,6992.752172
106.593569,69,6998.601986
132.637575,123,7014.070982
126.647444,99,7023.874059
104.72642,75,7034.336844
129.124589,109,7049.000553
119.185747,95,7059.382867
96.524971,81,7070.609347
109.44194,75,7080.392432
1.769108,34,7085.672391
12.216571,49,7091.423064
100.537829,72,7099.514254
115.990105,77,7109.456224
111.949067,76,7119.282652
106.859804,76,7131.386288
114.016723,86,7142.457477
128.561305,96,7156.632997
108.16817,73,7164.724129
105.464112,71,7174.373834
95.7056,72,7187.431667
109.74139,80,7198.47583
104.339294,63,7208.662306
109.98456,75,7220.114717
103.696186,68,7230.251927
107.117226,76,7241.798602
8.791035,48,7244.707058
103.453255,71,7256.639372
107.114123,76,7269.311199
118.984306,80,7280.185145
110.025159,71,7290.528661
102.389862,69,7300.64947
105.60766,66,7309.622549
123.144965,84,7323.550663
121.901927,87,7335.321722
110.550413,71,7346.050221
108.462262,80,7357.609787
117.780334,83,7367.640486
13.812925,53,7377.371141
125.832824,90,7388.729684
103.159014,73,7399.081126
206.283908,234,7432.984973
106.571335,68,7443.177268
93.085364,79,7454.284889
111.492843,69,7465.538697
100.733564,65,7475.623233
103.878789,85,7487.41449
101.346775,76,7499.517692
112.415048,74,7508.67311
111.15198,81,7519.260053
105.604635,69,7530.119563
111.319407,75,7541.598976
152.249811,134,7562.871411
108.564823,77,7573.59649
108.318498,72,7585.246141
109.497676,70,7597.101326
110.944332,73,7607.895432
104.113809,73,7619.418031
113.09473,72,7629.175199
110.040491,74,7639.429004
110.800954,77,7653.158136
98.317906,64,7660.988031
111.004924,83,7676.054973
110.950057,74,7684.761435
118.371505,81,7695.774378
105.584332,74,7708.450274
118.263907,86,7720.009561
129.306661,128,7736.724549
111.308875,74,7748.183184
111.73024,75,7759.224485
102.159887,64,7769.317767
142.195696,132,7786.238172
147.075862,134,7805.079357
112.8665,77,7815.975874
110.776416,77,7827.431992
108.452708,76,7838.519932
118.178991,85,7852.010245
112.899078,75,7864.051273
8.333052,24,7867.380323
115.59351,79,7879.548615
111.145487,84,7891.890293
103.633771,68,7901.528534
114.769798,79,7913.109597
114.105293,78,7924.726066
106.820095,71,7934.926871
103.76749,71,7944.033204
111.59875,72,7954.361642
115.529187,83,7967.686687
157.078154,159,7988.121622
115.625576,74,7996.258985
110.860595,76,8009.358882
113.119154,76,8019.795849
108.783347,74,8030.222268
110.210486,77,8042.132812
115.511986,81,8053.771605
112.357907,74,8065.811333
120.199594,84,8077.073282
109.643998,79,8087.60341
109.391334,69,8097.895502
116.890879,79,8110.7908
7.906159,48,8115.420576
112.703136,76,8127.473434
123.362472,85,8139.243886
107.599827,72,8150.098307
113.252095,75,8160.9588
99.724056,60,8170.291555
104.750426,72,8181.066055
104.482515,71,8191.924487
117.52738,82,8203.520975
99.704153,67,8214.227809
114.455471,75,8224.625525
140.476466,113,8241.466883
106.387684,69,8251.659883
103.385575,69,8259.675979
117.25427,84,8272.553227
114.185159,84,8283.755332
106.395465,68,8294.517294
115.9096,77,8305.919292
108.096101,78,8317.525765
112.457277,77,8327.997748
115.652105,76,8337.897129
112.67292,76,8349.362653
5.14655,27,8351.248965
181.917171,187,8378.108249
104.677822,68,8386.034287
109.216943,76,8397.063578
105.691488,72,8407.972749
112.198329,71,8419.375062
106.000279,66,8428.482246
112.467887,85,8441.197021
122.21251,99,8455.489195
96.840767,56,8463.744196
109.479373,70,8475.702411
7.319393,23,8479.654597
116.118032,83,8492.887985
113.842498,73,8504.352579
112.531633,78,8514.690803
-1.914597,30,8520.014926
113.247149,72,8531.892958
113.408009,77,8542.3351
110.363979,75,8553.307581
107.759755,66,8563.358311
22.205102,71,8573.560671
155.491356,134,8591.829469
118.671686,86,8601.86248
113.145539,85,8612.949112
6.123755,39,8619.573783
114.751149,80,8631.742692
118.45003,87,8643.460112
112.897562,78,8654.508053
123.049794,93,8667.587656
112.687147,79,8676.433647
122.135509,93,8689.022147
121.645471,85,8698.633441
113.167243,80,8708.042411
101.823858,78,8718.093801
110.737145,73,8729.838862
111.018139,70,8740.546874
115.484138,82,8753.33112
106.92288,71,8763.555701
125.037373,102,8778.062843
122.888371,86,8790.853734
139.745774,120,8806.437842
132.845141,100,8820.35674
130.930228,105,8833.168047
120.292545,82,8843.720578
119.042508,79,8856.30809
130.118851,96,8868.740273
110.462042,81,8879.869247
111.089196,74,8890.768621
116.997288,86,8902.603868
114.968761,77,8913.541965
111.206879,74,8923.446145
123.757771,88,8934.661107
139.976651,108,8949.326223
117.457798,75,8960.846391
104.172161,69,8971.667174
106.43002,68,8980.175293
122.92465,85,8990.790118
113.31265,85,9004.151413
