#{"t_start": 1723435951.2257829, "env_id": "bipedal-v0"}
r,l,t
-19.070349,44,14.798661
-9.910261,53,28.760699
-10.720083,73,42.022921
-29.597835,43,50.026275
-19.810849,47,58.402258
86.924559,254,111.004285
-24.995351,48,121.63589
-17.244012,43,128.982245
-30.860719,36,135.931852
-10.289057,46,144.299968
58.716263,102,164.322313
-18.519419,50,173.877868
-21.693884,43,182.155965
-17.967788,52,192.229571
-20.14307,44,200.41239
54.95906,90,218.846911
-22.70761,67,230.620551
-19.899391,48,240.670219
-20.580303,41,248.694329
-20.688455,43,258.075139
-16.084295,85,274.198956
-24.480015,46,283.173344
-19.890005,49,293.148089
-16.443834,53,302.874979
65.378379,65,315.62511
-21.124081,47,323.355208
63.297273,96,339.411363
-13.459419,58,351.460002
-20.731271,61,363.657226
-7.582849,85,377.839918
-24.741797,51,388.506292
-18.516719,49,398.84757
-17.907798,45,406.492571
-26.941488,37,413.28501
-15.057154,45,422.165071
-17.075786,43,429.295299
59.463194,73,441.804428
82.57194,100,458.029934
-13.145467,87,474.543899
-24.8593,38,480.828248
-20.838811,47,489.513737
-2.374777,55,500.086793
-16.849893,52,510.075976
-15.892613,69,521.67979
-14.985614,44,527.587872
-8.952806,50,537.591309
-15.35872,52,546.488956
-8.356004,74,558.307163
-19.181088,39,566.151583
-16.005402,47,575.178954
70.485694,98,592.849811
80.743344,82,607.153364
76.903089,59,617.27158
-18.338236,57,625.679238
-10.70871,50,632.329001
71.831328,89,647.922834
-6.978288,48,655.664251
-3.997647,52,662.498551
-12.947123,52,672.75324
62.237083,91,688.24723
-3.581925,58,696.361295
69.191807,50,703.635341
99.679642,254,739.127386
-18.914612,34,742.427269
89.377821,122,763.4576
75.117717,138,781.642499
22.957471,165,804.173437
-3.015975,57,812.755986
-6.026639,48,817.0362
-5.642501,51,823.664277
-15.018648,47,831.450083
-6.639424,47,836.398857
80.978901,89,852.16753
88.785583,72,862.659373
-2.788361,58,872.572291
72.179256,71,884.35925
-4.211377,47,891.80692
4.701164,60,899.303325
87.041874,193,927.916317
29.464288,135,947.037149
109.178891,183,972.683008
-14.966494,55,980.051769
91.665024,77,992.92339
102.787598,106,1011.899857
90.856149,97,1024.572853
88.753104,93,1039.974053
82.703589,61,1048.182586
108.773403,118,1066.376431
95.149804,63,1072.958318
96.509113,96,1086.304253
87.730163,116,1104.157416
80.446752,80,1117.354553
81.873213,96,1129.619133
92.799548,94,1141.745335
94.418916,87,1153.115548
-1.254565,56,1161.198005
-1.576279,65,1170.902806
85.41559,82,1182.116468
81.042732,75,1192.99921
-9.166429,44,1200.670381
82.4147,56,1205.888011
67.704909,76,1220.220435
85.501281,95,1234.515297
78.762383,66,1243.945041
89.94271,81,1257.363798
102.747053,97,1271.170285
84.369699,75,1283.268032
3.628115,70,1294.119935
-9.582328,39,1298.809267
20.014605,76,1310.370567
-4.243178,42,1319.169139
78.243489,62,1327.733531
14.061115,92,1343.198921
2.770776,65,1353.719035
2.54142,25,1357.955007
102.270211,69,1366.816831
86.025646,87,1378.17885
-4.514093,66,1390.629081
15.434814,73,1400.222567
89.942494,76,1413.373028
99.402736,111,1427.808599
96.540427,75,1439.835075
104.308785,100,1454.894153
109.262271,97,1468.789288
14.786124,68,1477.979511
-2.709969,48,1486.976992
102.100627,85,1500.075281
96.421883,81,1512.968309
95.131412,73,1523.904492
103.500364,91,1538.164261
92.150712,71,1548.941414
5.861982,54,1559.163307
73.122852,63,1569.193367
79.663037,76,1583.398554
66.241085,75,1596.756873
69.929345,62,1607.234797
77.815725,60,1618.884054
77.87537,58,1629.988253
82.586913,63,1642.034058
84.114765,68,1652.239232
73.41426,57,1662.630183
84.699672,68,1673.861234
82.087446,62,1684.846018
91.466802,63,1695.913772
84.88061,69,1706.130372
89.92015,70,1717.411756
82.943942,68,1728.083833
75.190875,45,1735.59583
85.083576,68,1746.581306
82.407647,75,1759.256124
97.088125,79,1771.654389
-8.306795,42,1779.123759
96.449593,95,1791.859195
98.426986,78,1803.784998
80.019981,63,1812.185755
108.108702,98,1827.015707
96.866808,84,1838.698769
118.172638,127,1854.063468
132.118168,193,1876.631265
-2.024731,43,1883.863698
128.251656,140,1900.727106
94.257728,65,1907.057716
6.87063,47,1914.020955
18.106015,81,1924.615098
80.553644,81,1933.95073
116.589525,105,1946.89635
112.512219,135,1959.529539
111.50815,124,1972.433182
228.714679,338,2006.796348
115.313149,117,2018.822597
-1.747419,28,2021.253023
-5.65713,39,2025.652712
79.941152,75,2033.659717
129.548874,147,2046.036353
43.621407,144,2059.950881
47.897129,140,2070.499715
129.894827,150,2083.9692
83.676179,69,2089.838275
139.941433,189,2105.527334
115.496962,111,2114.710018
142.502216,130,2124.182369
115.029651,109,2134.95185
-9.502013,33,2138.659996
132.088539,277,2167.525636
130.453827,134,2178.44332
120.527721,120,2188.946529
87.831582,61,2193.892636
114.936003,134,2208.088403
116.252821,130,2224.216343
106.629652,80,2232.590039
103.407803,80,2240.898909
37.847656,110,2252.188032
99.130638,88,2260.227343
25.617408,110,2271.581319
102.65343,90,2282.378256
68.156227,170,2303.289733
106.845927,143,2317.725137
3.116638,43,2323.104586
110.540808,104,2336.073009
102.621742,105,2350.025558
86.357399,66,2356.255426
119.875935,157,2371.634567
107.530673,105,2383.46011
126.782931,150,2393.670748
129.491071,151,2404.562107
56.722898,134,2418.946522
126.718207,160,2429.245653
99.345098,104,2439.725884
105.873382,144,2450.87785
121.176245,109,2459.340316
125.688626,146,2473.21009
106.385202,91,2477.886314
241.734892,410,2510.075337
70.69262,70,2515.313681
174.823409,332,2533.302505
193.121668,464,2563.115106
129.901763,161,2577.03441
250.370967,418,2606.659556
96.226905,81,2614.483551
76.536308,82,2622.916783
154.603423,231,2647.020111
82.523269,79,2654.038469
102.992945,93,2665.400582
119.070622,98,2673.583155
20.719934,84,2682.162102
106.351195,100,2691.06917
-0.664362,74,2698.23386
150.390088,211,2715.643722
112.248929,124,2726.839216
102.578964,84,2735.215299
-1.516315,32,2739.951575
152.500903,179,2756.312078
-10.939114,36,2761.1971
118.324072,129,2770.809465
114.869271,132,2782.110128
125.826634,158,2794.074617
118.061398,119,2804.518478
109.93031,101,2814.614654
114.479868,124,2829.015749
95.376814,77,2836.984814
156.316909,236,2858.487663
139.338615,165,2871.920148
0.223193,37,2878.415268
115.663609,104,2886.85135
97.816863,80,2897.980999
77.32128,246,2923.567991
125.305995,112,2937.223465
106.544641,84,2948.307294
118.462654,134,2964.859269
99.158848,92,2974.621773
115.758048,129,2988.08621
5.113146,55,2996.805247
22.642851,79,3007.347034
115.959516,146,3020.13698
127.893453,148,3038.632129
-0.324699,53,3043.877484
108.117286,105,3055.901537
89.941041,81,3063.187756
117.49577,140,3079.333003
145.976066,153,3094.07182
