#{"t_start": 1723435951.3498259, "env_id": "bipedal-v0"}
r,l,t
-13.05428,56,18.352951
-29.849408,37,26.817497
-28.277161,43,33.202355
-21.818139,45,42.798573
-23.024533,51,52.316372
-15.589408,56,64.589366
-14.942879,52,74.16889
-21.200712,43,82.965529
-17.75813,44,91.243279
-26.194681,42,100.623254
-14.972642,60,113.753142
-13.400707,52,124.994816
57.028728,134,150.821275
-18.475029,67,162.797522
-21.177007,61,176.222231
-20.033356,61,186.139509
-26.931223,51,196.631088
-13.73654,49,208.253929
-13.375816,45,214.817363
-25.258171,44,222.912393
-17.285179,40,229.251419
-22.943835,48,239.898217
-27.830359,47,249.816191
-27.01319,54,260.767653
-17.826364,58,271.425087
-22.234334,47,281.6183
63.032091,97,298.774871
-22.102415,36,306.706559
-19.745691,53,316.313946
-20.364683,48,325.19203
-18.888982,55,334.848557
-17.586542,39,341.221839
-21.681863,50,350.720099
59.813731,85,365.872314
62.972906,99,384.655468
0.563409,64,399.346195
-9.015846,48,407.644534
-7.456016,53,417.860211
71.171297,93,433.879015
60.150196,72,446.425771
78.289493,78,459.060324
-16.55332,45,467.278507
-23.577141,43,475.07553
-12.031109,53,482.870534
-8.11838,55,493.500304
-8.104496,64,507.79858
-16.948104,51,515.989759
-20.973907,36,522.113088
72.431875,139,545.113476
71.867289,60,555.323907
-7.944426,46,563.93187
-13.020889,39,572.380194
-10.435281,48,580.468008
-16.439992,46,587.411524
-14.405622,56,596.530849
-0.066481,48,605.853667
-6.369251,50,612.952337
-4.561447,41,619.14445
76.981858,85,633.56007
18.760149,111,652.115969
-9.791534,46,658.67302
-18.507287,36,665.639259
-22.016434,38,670.794772
81.328821,84,686.658331
-12.433604,51,693.425804
-13.916243,54,702.024224
-16.451589,44,709.642188
69.975767,87,717.322498
-3.282011,49,723.370247
-14.654987,60,732.492166
-14.749086,25,737.253149
-8.232206,47,745.461027
-4.495655,53,753.492033
80.513317,91,767.166243
79.239727,116,783.531751
-17.288612,57,790.335486
-5.57124,43,798.45153
83.435019,94,811.044735
74.53431,99,821.875822
63.843644,97,834.685907
76.812071,62,846.024867
-8.08588,57,855.014321
87.570362,87,869.342738
-8.054206,73,880.595876
-8.473374,37,886.785562
24.231123,84,897.703502
92.585829,88,910.637233
95.976986,64,919.391346
90.550365,79,932.65844
79.459069,78,940.824036
89.546758,86,954.380131
111.093595,195,983.803695
94.185873,78,996.814873
1.402192,55,1003.127551
-2.663552,26,1009.694361
78.498472,52,1015.964257
82.284616,68,1026.557473
95.752868,91,1041.952746
5.741347,79,1052.919918
93.671892,74,1062.800287
93.679377,69,1070.823497
89.941706,83,1083.700939
-23.463399,29,1086.952313
72.188854,82,1100.332158
92.684887,89,1114.954814
91.144934,95,1127.118853
73.859298,79,1135.889892
92.47693,80,1148.820274
85.907819,72,1158.571846
104.266576,98,1172.169225
82.154211,75,1182.57969
101.994629,101,1196.514907
93.895522,81,1207.148297
-7.850856,46,1215.995291
82.532464,80,1227.528087
