#{"t_start": 1723435951.1024146, "env_id": "bipedal-v0"}
r,l,t
-25.738069,51,17.374814
-20.253332,56,30.866155
47.56771,88,46.843645
-14.666522,96,66.108542
-11.387008,46,73.745816
-24.944058,41,82.483397
-29.048279,58,92.913323
-9.874214,75,110.520298
-17.448225,50,120.626665
-24.636705,55,131.845978
-16.378458,45,140.101507
-18.873438,44,147.32339
-21.553335,46,158.041297
-17.774263,57,169.03263
-19.488548,46,177.334591
-18.664096,51,186.987103
-18.266094,41,193.853202
-20.618689,43,204.334728
-17.287935,30,210.671797
-15.09586,49,218.364686
-15.128992,72,232.615913
-18.918327,53,243.409809
-14.288966,50,251.621656
-17.40246,64,266.058688
-19.574173,48,275.585495
-23.255926,42,282.692609
-18.193126,47,292.040655
-28.212453,46,300.953619
-29.79137,52,310.449461
-1.572898,74,324.698839
63.540612,95,340.181573
-18.540134,59,352.291316
-11.155972,49,362.400887
-24.156264,53,370.638557
-9.373053,51,380.586301
-15.560197,49,391.131302
-33.712993,35,397.081732
-13.826209,58,409.089691
-33.751563,59,418.971878
-13.318091,45,427.261654
-10.211568,49,436.199234
-15.505934,62,447.263574
-17.303884,37,453.570498
-9.663636,64,462.871207
-10.809239,45,470.696584
-18.134453,49,479.065926
-20.49823,58,490.969273
69.014206,74,504.869699
-11.068227,77,519.488704
-5.305075,92,532.544863
-12.087508,41,540.594651
-21.997512,40,548.005962
64.598325,89,563.522347
-7.72976,47,573.341002
77.526453,113,592.333945
-4.207398,76,604.243607
79.595511,96,619.988971
69.013092,87,634.998761
68.048293,210,668.172314
2.362265,86,682.976588
-9.699604,39,690.492589
-10.79298,51,697.823617
-12.187893,53,706.303534
90.207342,103,716.798434
-6.750228,50,722.876948
-4.995928,71,733.506906
80.909851,124,754.483341
-9.798159,55,764.220303
-11.668396,45,770.693151
21.433368,83,780.395772
-4.352546,54,788.226977
-8.217564,26,791.263306
79.926532,152,813.519642
86.259636,115,827.183402
82.253353,78,838.296405
77.703781,83,851.569729
-11.318584,59,861.045048
89.804631,79,873.99364
89.703745,77,885.852554
-5.955395,27,890.535697
90.762727,116,907.035707
-2.474457,51,913.739431
0.634412,54,922.80042
106.842938,99,936.149925
92.997444,80,947.808152
81.949888,56,955.266647
124.653457,233,989.340326
1.316246,71,1000.975969
87.199171,88,1014.715503
-17.213322,39,1021.68357
90.262122,80,1033.659332
80.23423,139,1054.587446
-8.436715,67,1063.672299
94.084725,75,1071.869295
96.986996,77,1084.560816
98.761868,80,1094.041612
-4.13584,61,1104.979626
70.622374,72,1116.731646
86.873023,77,1126.650367
78.956476,87,1137.443917
76.254549,65,1147.021964
93.156114,85,1159.467882
111.109091,137,1177.715781
91.333618,82,1190.611734
95.683231,99,1203.39473
108.688243,98,1217.905184
82.841742,75,1232.135726
5.285471,60,1239.724653
110.235018,92,1252.813658
98.441752,74,1264.289911
84.696178,67,1274.277057
79.853598,79,1287.194798
93.413861,94,1302.194646
101.912917,108,1320.256405
101.842883,80,1330.804859
86.021495,82,1344.692376
3.005144,48,1351.943333
0.671085,51,1362.574692
76.07274,77,1372.38946
100.609473,85,1385.425122
97.782518,78,1394.760317
-7.023895,48,1402.407109
108.726707,99,1418.092676
104.490611,79,1429.187402
17.968881,82,1440.82465
93.186292,72,1452.839951
90.824907,69,1462.986971
106.677,121,1478.873373
94.886,83,1491.895641
91.597372,77,1504.642299
94.579848,76,1516.937193
3.265241,44,1523.453652
89.097418,77,1535.539706
13.873178,66,1545.657277
0.184553,52,1554.170205
17.457252,81,1568.651738
82.710724,74,1582.788617
78.467014,66,1593.005942
79.697892,61,1604.576623
77.288181,60,1615.166857
78.028058,56,1625.521175
-4.31218,35,1633.533331
98.386995,86,1648.623507
81.167958,80,1661.456828
80.748574,68,1672.668519
81.523073,57,1681.935724
92.066204,61,1693.383081
7.145522,51,1701.314794
103.678874,74,1713.377633
2.544157,57,1723.150023
99.720468,92,1738.260188
8.000142,61,1747.960888
78.628055,60,1756.822006
98.186675,88,1771.208485
89.250386,85,1783.69339
9.144928,57,1793.141816
86.652511,69,1800.407509
82.682771,66,1811.656016
105.369495,83,1821.598314
95.301654,83,1834.424842
1.493559,49,1840.227343
88.842058,83,1852.095406
19.494144,77,1863.118178
0.440494,25,1866.023718
136.803158,150,1884.609168
6.896384,48,1890.983896
136.535004,186,1912.020949
103.520662,106,1926.653818
112.038397,127,1941.185212
96.103812,89,1949.810169
-3.050793,45,1954.913945
20.267242,86,1962.810921
94.419088,91,1973.192174
180.914927,269,2000.054015
136.519723,153,2015.355349
144.760284,159,2031.699893
18.796494,71,2039.249033
113.231565,112,2048.999203
10.668213,50,2055.900601
43.499323,137,2065.76631
128.264232,132,2076.040449
90.313127,79,2081.48594
80.456277,71,2087.883318
83.813198,63,2094.169804
120.008594,113,2102.253105
97.820218,92,2109.718912
87.725945,244,2131.825626
131.885079,206,2151.904735
62.376475,29,2155.516309
109.904372,80,2165.037043
118.355808,142,2177.300482
49.002248,116,2186.549466
159.466845,247,2210.497663
3.956072,39,2216.911786
7.684712,46,2220.965514
63.967084,34,2225.763958
50.9477,126,2238.699899
140.512634,165,2256.004527
116.247669,113,2266.949323
112.266416,116,2278.398907
85.745498,70,2288.13318
111.506007,132,2304.674814
146.437173,194,2324.693725
98.121642,86,2334.934188
28.57979,98,2347.08989
84.026924,59,2353.643334
100.927354,98,2364.622141
125.552455,135,2375.699579
136.300583,169,2391.94231
111.496593,315,2419.658001
117.303545,141,2426.595547
68.895558,186,2444.305967
113.985081,132,2457.385396
183.735379,320,2480.331139
188.47058,281,2502.931908
91.060612,91,2508.161729
141.481826,281,2525.892714
132.755429,157,2535.791775
189.985774,285,2552.05064
16.339615,60,2554.221927
125.166151,152,2569.886592
109.771281,119,2579.841832
134.434981,199,2590.242007
114.088931,133,2597.766246
125.31073,124,2612.724112
112.079448,94,2621.452364
94.948936,77,2630.837874
-4.402061,27,2634.379578
101.329036,95,2643.066831
98.825002,97,2651.085863
94.016925,200,2672.060756
117.975751,101,2681.592368
120.280577,107,2691.832633
140.362421,226,2712.017494
143.615128,183,2728.169794
108.666755,89,2736.618399
103.716516,87,2746.541192
110.854181,124,2757.253661
90.960006,80,2764.955546
146.51122,186,2781.052316
8.694641,70,2786.311351
171.492262,267,2807.912399
15.029284,77,2816.228269
128.291119,126,2830.627864
103.892897,102,2841.000901
95.085251,83,2849.428725
111.668519,100,2856.015582
158.901958,180,2872.646616
22.829904,86,2884.410817
21.547986,88,2895.789472
108.130332,97,2905.691889
74.66308,190,2923.014746
113.726307,102,2934.730423
81.165232,41,2941.782076
107.143158,87,2953.182989
122.415942,122,2966.587909
172.27796,215,2990.189459
106.305043,97,3003.944799
142.757424,130,3018.05303
60.287893,162,3032.959731
121.576952,127,3050.165441
114.309723,129,3062.488988
112.262263,95,3073.446079
123.124527,140,3086.783877
133.058994,176,3107.141442
50.551805,42,3110.546504
7.848668,65,3120.18869
129.815335,144,3131.962296
168.124149,208,3152.550613
103.717817,79,3161.068052
119.760559,113,3171.95835
116.580922,117,3181.904515
45.271362,137,3193.921932
127.814763,116,3203.762701
112.489045,98,3213.644589
29.704824,56,3219.042996
100.792713,90,3225.355979
265.295435,533,3273.952806
104.165942,111,3283.556418
9.983463,86,3291.605849
2.972805,63,3300.511617
