#{"t_start": 1723435950.8483622, "env_id": "bipedal-v0"}
r,l,t
-24.965715,49,16.471313
-26.934977,46,28.469801
-19.218253,60,40.271677
-22.04665,62,51.747748
-17.000933,51,60.177932
-21.729875,53,70.632824
-13.807616,53,80.929827
-13.039311,44,90.398725
-14.216219,48,100.425214
-29.100181,38,108.00777
-30.742424,44,116.542996
-16.870977,45,127.057433
-17.150632,60,138.940266
-25.936354,46,146.816788
-29.467044,48,157.60456
-19.703333,51,166.672646
-21.935203,43,175.4714
-18.831544,69,187.981856
-14.864897,87,205.97275
-21.319226,63,217.814127
-15.158715,50,225.683948
-16.404797,43,234.949776
-15.325032,49,244.995428
-22.976917,54,255.771717
-18.029438,86,272.540222
-25.453065,44,280.983797
-16.236712,47,290.240788
-17.009212,38,297.726662
-21.870954,44,306.477542
-15.404945,44,314.069052
-11.533861,112,334.031659
-9.071679,67,346.910559
-13.593884,42,354.56251
-19.072281,72,367.520633
-11.203115,59,377.091615
-17.658815,41,386.906583
69.330275,107,407.507748
-20.4605,42,415.076568
58.60532,85,430.346445
-7.096924,48,439.26337
11.807908,101,455.52369
-12.566792,41,461.232579
65.060184,128,485.199777
-21.838748,59,496.585202
-16.63975,54,507.712715
-17.434411,47,514.691689
76.579703,99,531.241423
78.03928,103,549.669763
65.446575,94,565.896884
52.35215,131,590.487596
-13.567522,47,596.441797
-20.472468,46,605.134295
-11.31692,52,612.884677
-9.643291,54,622.902302
-16.655054,40,629.636909
-12.656075,79,642.187378
-15.9693,58,650.710874
108.796775,158,677.995365
0.42443,63,689.229035
-4.959079,62,697.452292
-2.950949,66,708.663735
-10.745285,47,714.014578
68.922702,91,722.423414
-9.258089,45,729.517301
93.909248,85,743.905999
1.631386,81,757.427676
-10.495861,57,766.63543
-16.450469,47,774.210572
66.301288,125,789.19729
79.464378,74,800.513496
-10.661728,57,806.791577
90.267303,111,821.459854
-20.219948,47,828.038172
-17.30925,32,832.533779
48.307226,235,869.258021
-2.307143,62,880.165944
75.841717,95,894.222486
98.354839,81,905.099778
0.536767,73,915.373395
90.419241,97,930.350484
103.916207,120,946.677392
-2.301523,68,956.242464
-15.824148,44,963.853726
-3.141504,61,972.047702
-3.473417,54,978.199114
-4.376369,52,988.485422
-4.531862,54,996.68398
88.958206,80,1009.556683
114.498955,154,1032.012972
54.276089,57,1041.801722
86.347315,78,1052.748022
83.223717,87,1064.779721
94.278659,80,1074.233457
88.928922,92,1088.071755
64.644452,72,1098.31142
2.162993,64,1108.248774
-10.703563,31,1114.787593
84.23705,74,1125.155934
108.439586,105,1137.049142
94.951205,82,1150.004994
75.84595,63,1158.330873
103.743233,151,1178.757558
86.897917,75,1190.267748
-1.94761,48,1196.284418
-6.021881,73,1205.491878
90.210505,90,1221.428
