#{"t_start": 1723435951.1647813, "env_id": "bipedal-v0"}
r,l,t
-17.657119,41,12.792437
-22.439268,43,23.163981
-28.313353,65,37.687564
-24.957442,51,48.563967
-19.787135,57,57.202259
-26.640942,33,65.428316
-23.253045,38,71.113483
-16.05284,49,81.799411
-14.943553,59,93.424134
-14.555081,47,103.749979
-16.342768,46,113.346037
-28.538246,49,123.798572
-15.109899,70,136.779964
-13.96665,79,153.177246
-19.591024,45,161.465946
-21.849352,53,171.683296
-9.605391,40,179.901253
-24.50934,38,185.695919
-18.277051,45,195.471179
-22.126089,49,206.247566
25.016497,129,227.570916
-17.232791,46,238.111381
-21.846704,49,247.576993
-15.523459,43,256.849068
-26.2319,46,266.668029
-18.694493,48,276.754946
-15.716769,44,285.005836
-10.893928,85,299.643383
-14.734584,45,307.844883
-14.898544,49,317.876172
-11.498703,66,330.699219
55.665112,101,348.088205
-20.844013,34,354.879147
-21.297771,38,362.949137
-18.3103,52,371.160833
-20.395688,41,378.510354
-11.170421,48,387.941214
-18.60809,38,395.289483
-15.787056,42,402.625417
-12.133151,51,412.711303
86.874151,124,435.435142
-8.035971,50,443.930526
-12.386573,45,451.574371
-14.74203,73,464.049573
-10.42474,45,471.324309
-16.106615,80,486.175031
61.170322,70,499.490302
-6.086929,65,511.536587
-7.544068,59,521.145874
-30.477464,45,528.783971
-9.345047,50,538.276067
-12.299019,55,547.256508
-18.901894,48,554.311203
44.59775,102,574.483796
-0.559799,89,591.301275
54.040067,88,603.024175
-17.557608,62,615.487341
-15.340166,41,620.671452
-20.458483,52,630.032185
-8.010123,48,638.81444
-6.744725,47,645.872589
-17.325141,34,649.718596
-7.814584,51,658.117301
-19.76925,65,668.832376
-14.403542,46,678.307287
127.420384,409,734.813251
-6.194668,40,741.142457
-4.720536,49,750.66353
33.859153,124,768.797949
96.834058,383,820.412286
-5.905859,58,828.490133
7.112131,70,837.613261
-0.929539,55,848.148185
5.859325,60,857.230021
-8.447934,55,864.805918
-7.29804,27,870.809455
82.458168,86,883.664948
5.011318,63,893.278763
90.3973,86,906.083305
84.280522,83,917.189472
81.474327,79,928.732979
88.228377,87,940.030233
103.196116,136,962.534968
-8.906391,32,965.817564
3.654041,59,973.354967
-6.825077,63,982.170969
83.342675,76,994.998908
-0.731534,46,1002.285951
