#{"t_start": 1723435951.5353627, "env_id": "bipedal-v0"}
r,l,t
-30.895525,43,13.860567
-35.107005,50,27.185115
-22.219767,56,37.838784
-14.013585,83,52.722733
-17.395236,60,66.877718
-19.676494,73,78.210451
-24.64523,53,90.29889
-17.014726,59,101.929507
-19.979649,53,114.139415
-8.922015,67,127.120479
-18.951595,41,134.951781
-17.656539,50,144.614003
-21.174523,50,153.746385
54.676623,194,190.770736
-22.800848,41,199.431668
-19.291469,57,211.709488
-17.524802,40,219.103775
-18.172854,56,227.772487
-26.88146,48,238.379319
64.677358,78,254.397296
-25.33943,45,262.953295
-19.156001,42,270.635696
-9.246738,45,279.638514
-16.557115,43,288.280384
-1.975324,120,311.312505
-12.947095,46,319.599904
-20.409688,42,327.070865
-25.262995,52,336.781998
-24.491545,43,344.221715
-9.711514,74,357.476772
-21.905706,46,366.261092
-16.01746,61,376.994949
-12.628337,39,385.016934
-15.990775,42,393.568795
-22.840301,63,405.556734
-21.193049,32,410.434295
-10.058802,42,419.852826
-21.323186,58,430.282889
-15.034373,66,440.852702
-12.376084,51,449.847406
-12.41556,45,455.827217
-23.487679,44,465.099384
-21.450403,43,473.486994
-13.297297,45,481.647762
-31.504295,40,487.88291
-11.607426,46,497.72221
-12.124276,46,505.757006
-20.172532,48,512.775724
49.074886,126,534.747565
-12.3436,56,545.498906
-15.172267,47,553.05843
-16.341313,40,559.370552
-26.125794,43,568.429952
-10.399787,49,576.990427
-10.582927,50,584.171776
-22.296782,47,593.462826
-14.152325,49,599.99702
76.955125,128,623.449592
-4.064329,44,630.986858
-14.016237,87,644.909001
-9.717833,42,650.667762
74.348806,73,661.54082
-11.058717,45,669.828554
-5.852416,51,679.48065
-8.21896,77,691.080458
-2.325465,81,704.547219
-8.086947,53,711.276375
86.279317,70,719.003682
-14.202636,55,724.719584
-22.767723,32,730.609674
70.220889,69,741.363752
-2.040506,54,751.012908
78.082747,87,764.618253
2.294186,63,774.397335
84.380294,72,782.709321
-6.964747,47,789.199018
-2.663373,48,796.873704
87.228307,101,809.648314
87.149289,74,818.113408
-8.289577,49,824.109313
-19.278583,50,832.598637
-3.934318,50,839.987254
-21.38262,33,845.155736
-1.842152,52,853.402841
78.007474,81,865.227316
-8.627766,53,874.960903
96.278365,75,888.370843
35.013633,169,910.999265
9.431484,68,921.040734
-11.920871,31,925.383377
100.469281,144,944.835643
-8.325853,25,950.781991
66.787813,62,960.060425
84.654414,73,969.790631
96.383049,113,985.860847
-6.460854,48,991.980754
82.977871,75,1004.244411
69.378487,75,1016.423019
91.579063,67,1026.990672
-25.567924,34,1032.012559
-4.29904,64,1042.592991
83.609862,73,1053.38339
96.282221,129,1069.175974
87.747627,75,1080.082305
93.282195,116,1096.365792
75.320557,70,1108.149566
90.26933,94,1121.773758
-4.620864,47,1127.88401
77.675224,75,1137.719912
-9.408256,56,1145.827811
114.502724,132,1163.09027
-8.688759,52,1171.333935
93.091055,95,1185.794328
75.025499,52,1191.952435
91.600008,122,1209.595929
88.145555,52,1216.867682
-12.174876,54,1226.46417
98.188003,101,1241.588662
-14.437213,47,1248.147777
92.024363,78,1260.85854
71.758677,61,1270.136464
97.407012,71,1282.103883
85.58784,69,1292.297602
78.470258,88,1307.190402
92.319621,77,1317.619344
96.010612,93,1332.990275
-2.222866,68,1343.54299
3.804796,66,1354.751843
108.32947,95,1367.872845
103.395424,104,1384.385245
102.33795,89,1398.627296
102.873524,84,1409.17558
97.526947,80,1420.209944
102.366759,80,1430.783798
101.348997,93,1447.979297
6.488353,66,1456.816443
78.136335,73,1467.038492
14.68329,70,1475.739431
92.888849,73,1488.964368
85.571513,88,1503.22755
98.474816,75,1514.30222
88.369135,69,1526.74195
106.507376,115,1542.397795
81.926132,82,1557.008753
74.034213,56,1566.098732
82.789022,66,1578.334681
17.112634,69,1590.298975
80.726708,68,1602.168436
81.444324,60,1613.861925
80.707996,60,1624.321019
79.024663,59,1635.968731
11.787011,56,1647.295661
79.018543,63,1656.750806
104.084816,95,1671.586911
86.143134,67,1683.925452
83.489595,58,1694.250671
5.866681,68,1704.476614
96.09695,99,1720.190295
87.27632,65,1731.735336
6.404892,52,1739.990002
93.871511,71,1752.711684
91.353361,68,1763.01539
-6.651535,24,1765.924396
87.733632,68,1776.900836
98.954218,91,1789.600778
74.083185,37,1795.553756
1.390146,50,1802.348047
91.041258,70,1813.17491
83.983407,72,1820.511819
12.318277,84,1832.917685
88.063071,74,1844.889235
102.42222,105,1857.344253
5.864669,51,1863.773899
94.959736,143,1882.694481
98.423917,118,1896.1468
114.856642,117,1909.548002
114.192689,106,1923.6594
125.124275,147,1943.177713
102.909881,96,1953.132312
122.190693,111,1961.694356
89.023132,77,1970.542338
98.626254,97,1980.480101
100.958585,97,1990.946533
105.075387,127,2003.856838
110.395459,106,2012.353287
106.014504,97,2023.846399
-8.319886,31,2026.885395
146.059459,198,2044.956152
207.120169,403,2079.849808
102.805323,110,2090.164315
99.556056,146,2099.691265
148.867404,156,2115.620648
44.367851,131,2124.581412
93.338493,79,2132.828928
91.33451,92,2143.157814
60.049418,99,2150.875695
117.681508,96,2161.978057
99.329754,243,2184.234714
154.254518,224,2203.58083
111.403361,86,2215.218112
117.909729,113,2230.045406
107.174729,88,2237.459827
96.806384,69,2244.352957
126.112986,131,2257.352851
26.132448,92,2267.173467
90.917052,81,2276.033517
156.165752,237,2306.064175
72.623246,226,2328.742551
85.413147,81,2339.857767
93.653234,77,2349.103868
95.491908,73,2357.163607
127.105235,139,2369.878662
38.167553,111,2381.904802
130.343119,359,2408.949812
180.665616,418,2445.222271
94.463978,96,2453.926369
112.832132,115,2462.06814
116.272631,91,2470.007524
129.628736,362,2497.655092
236.368966,407,2522.961344
159.347209,222,2539.182968
173.001796,307,2554.365088
114.448437,125,2565.805012
197.805356,348,2591.017293
138.59274,175,2604.022056
97.754116,81,2612.916281
98.03569,99,2621.776073
82.237778,67,2629.176724
134.178177,163,2645.304313
99.012471,108,2657.575586
91.354811,89,2666.61476
122.089221,134,2679.171106
125.842688,137,2691.994311
126.746774,154,2706.841721
149.075476,223,2723.03442
109.897428,91,2731.581125
93.181096,73,2740.768696
114.065578,125,2752.253862
255.626354,429,2789.442068
