#{"t_start": 1723435951.037902, "env_id": "bipedal-v0"}
r,l,t
-21.709981,49,16.855165
-25.338007,44,26.507072
-16.928444,50,35.377729
-18.526561,54,47.5285
-12.651095,77,61.444967
-0.919582,72,75.210003
-22.473136,41,85.112431
-25.283342,55,94.942274
-24.548617,49,105.49233
-24.054238,58,116.966191
-13.991886,61,130.540007
-23.059509,53,141.408327
-26.124969,49,149.942055
-18.503299,46,159.460396
52.849453,61,171.086986
-16.23005,45,179.415226
41.752884,127,205.02393
56.204183,136,228.812391
-23.399404,50,239.527981
35.484639,124,264.746807
-14.125844,81,279.481132
-18.369056,46,289.326044
-17.395389,70,302.403151
-13.394688,85,318.639088
-28.242845,55,328.238322
-15.108552,58,338.110035
-16.315914,44,347.400276
-9.578464,76,360.095177
-5.290018,90,376.200109
-19.912781,61,389.911334
-14.126173,44,398.439905
-12.638368,62,409.953895
-16.433013,69,423.024767
-19.192512,48,432.030708
56.695251,98,448.136437
-15.942429,67,457.638199
-18.7793,60,469.794031
-9.604821,46,477.585044
-19.120671,45,485.640696
-19.686069,61,497.633476
-12.988148,44,505.617077
-10.398843,51,513.886896
-18.967997,55,524.563182
-17.474497,75,535.952934
79.985487,93,552.838337
68.223334,88,568.325941
-13.329827,43,576.737668
-11.112873,51,583.370086
84.657336,102,601.098479
-7.059217,53,610.587772
60.998889,87,626.557775
82.353057,115,644.175667
-3.915139,59,653.836931
-12.87982,63,663.895932
83.849882,61,675.480447
76.960839,64,685.631509
-14.332606,47,692.255742
-1.597618,51,700.20814
90.708078,234,730.422766
-11.197928,47,739.91641
-14.788908,59,749.132077
-1.56111,65,759.230141
-2.048075,69,768.194339
-7.11016,55,777.160206
89.658656,142,796.021789
93.110605,103,809.454121
-4.098025,56,815.649979
87.277887,78,825.965727
-3.909154,52,833.953382
-16.960841,58,843.35043
-14.272738,38,849.77123
-4.704821,60,859.400753
88.402953,95,873.444747
86.718725,79,886.507898
3.187928,80,897.28017
-6.457649,46,903.644798
87.519881,78,915.831014
94.840934,118,934.308268
0.079733,58,939.534118
77.630031,55,949.300898
-11.02993,56,957.360116
83.164452,53,964.647835
84.794464,106,978.707796
83.399426,67,990.055151
11.9748,71,1001.694297
88.413275,83,1014.116919
-11.392982,40,1021.121136
5.889838,71,1031.119998
89.335539,91,1045.380293
87.96494,82,1056.501775
100.537508,162,1078.38492
89.464831,80,1091.332746
83.841113,69,1102.538318
79.673752,77,1111.708002
84.101148,75,1123.666203
87.585364,80,1133.125951
0.142815,66,1142.667234
90.009421,75,1152.489527
88.994821,88,1164.959287
90.637764,75,1175.091344
85.922048,85,1189.173473
6.410259,73,1199.461294
81.694557,83,1211.315479
17.431297,72,1223.120876
93.685682,104,1237.75006
90.343741,74,1247.993281
-3.368386,52,1258.734922
94.857833,83,1269.855929
85.093914,76,1281.968159
7.100787,67,1291.596421
92.698518,81,1306.788204
89.814362,75,1317.168221
101.921143,86,1329.406889
93.176203,79,1341.546047
-2.330514,63,1353.171319
101.410547,85,1365.412024
113.558317,115,1382.235779
94.305573,84,1393.556359
10.204548,85,1407.563146
25.731459,108,1422.862345
91.675152,74,1434.332667
-1.46386,53,1441.666202
5.606746,65,1452.33656
85.596883,69,1462.467254
6.665292,61,1470.934904
87.357658,72,1481.030252
82.053206,57,1490.359282
3.003118,49,1498.330068
