#{"t_start": 1723435950.9748979, "env_id": "bipedal-v0"}
r,l,t
-27.465476,42,13.714936
-16.299311,51,25.983131
-18.228831,56,37.295137
-29.97485,35,43.832886
63.191573,57,55.744735
-17.244275,43,63.626398
-14.412066,51,73.215312
-30.202468,49,83.961145
-22.147802,48,92.339387
-9.780664,44,101.808921
42.16408,86,121.300513
-10.486461,46,129.935281
-17.63569,152,160.739827
-17.820084,48,168.575276
-17.09111,51,178.743328
-28.271554,51,188.96111
-9.595213,63,199.39609
-26.70557,50,211.494486
-19.39189,29,216.364897
-21.686421,41,222.698478
-19.223398,56,233.556865
-15.399004,43,242.352258
-21.786406,52,252.376357
65.386075,71,267.583835
-16.621755,41,276.320944
-21.385363,45,284.595134
-31.060379,38,291.444216
-15.545949,49,300.45112
-28.917076,53,309.455773
-24.947634,55,321.38827
59.279767,122,343.369167
-19.349067,38,349.069245
-17.514765,61,361.293029
-11.593016,66,373.281217
-18.826549,66,384.436064
-4.446193,82,400.795863
-16.867831,81,417.588166
-14.926474,46,425.883159
-28.163722,44,433.517188
-9.216729,54,442.678666
59.918471,100,458.833477
-16.736874,44,467.010771
62.125836,133,490.519075
-21.385116,52,500.997235
-8.430586,49,509.741453
-10.530718,52,520.25491
-11.2788,66,529.665837
62.546364,81,542.950014
-11.830621,51,551.780476
-15.305522,49,561.039502
-19.063669,47,570.284837
-7.925273,43,578.149065
-9.454127,49,584.159085
75.740398,68,597.474025
-12.040859,46,605.649899
64.347808,64,618.166373
76.397842,86,630.839151
-19.502608,45,638.357763
-13.821848,53,646.740826
69.140584,76,657.595384
-26.965263,35,663.347171
-14.887697,51,672.42136
68.936499,67,683.748155
-3.465211,59,693.019158
-5.303533,48,700.884253
97.05719,146,718.373343
-4.648897,52,724.522393
-13.400625,48,732.07018
0.037896,81,747.085168
84.79738,100,761.147458
89.314845,99,776.587801
-9.405123,52,782.602814
17.524745,94,796.735937
83.037989,87,807.372319
79.008794,243,841.176393
-9.286804,50,849.15481
-3.248401,66,860.134731
-7.626707,54,867.155244
87.145657,88,881.773849
86.719755,108,896.724316
84.628714,79,908.281066
72.143956,101,924.972179
21.270387,139,941.896169
83.825129,115,962.01071
-0.948236,60,969.064968
88.445686,101,983.550899
-18.984207,48,990.890488
100.707299,109,1008.817488
112.706673,166,1035.095227
96.587022,111,1051.670703
99.240468,86,1062.446225
98.921622,99,1075.417898
92.068734,101,1090.710954
75.513026,59,1099.323122
87.430116,91,1112.889675
204.434824,397,1166.5932
93.222793,99,1180.918145
67.490606,73,1191.740895
110.612676,116,1206.882328
-8.167302,43,1215.090843
4.256436,57,1224.780208
97.868551,88,1237.174785
113.695402,109,1255.983135
92.656289,69,1263.827088
-2.891168,59,1272.436479
96.534078,93,1288.61268
85.282457,67,1298.18416
92.644325,79,1309.869842
88.900999,66,1323.161071
92.553417,92,1336.346166
10.344582,82,1349.716726
79.01829,71,1362.110611
102.196485,111,1377.029983
97.751548,87,1390.160498
76.055848,52,1398.567028
96.668879,76,1408.991532
111.909581,105,1424.182238
91.53966,80,1435.804858
72.621811,53,1444.938211
20.185434,75,1455.770171
100.582075,90,1468.264777
104.570711,115,1485.278238
105.559913,77,1495.832212
78.115779,75,1508.466143
100.414698,101,1526.028819
11.900897,45,1532.069485
100.305117,87,1545.068113
5.837167,61,1556.743751
76.831573,65,1567.268144
80.442801,65,1578.29514
1.989861,60,1589.415993
78.795481,65,1600.638934
77.286488,58,1611.619702
80.158207,54,1621.950869
75.800836,60,1632.524791
79.545996,63,1644.51429
87.715759,75,1656.702242
4.893389,46,1665.507864
58.413841,65,1675.589196
95.348936,80,1688.801321
91.944327,67,1700.619661
92.54486,67,1711.325619
91.55063,67,1721.46403
5.847628,83,1735.186527
89.105404,63,1745.423307
98.205725,75,1757.587154
92.774536,78,1770.022449
8.147227,56,1780.57487
97.359149,71,1788.752775
12.898031,61,1798.257593
99.264473,81,1808.569202
106.959749,105,1823.655301
88.066483,80,1835.211969
86.623099,69,1846.047808
112.238831,114,1859.295464
108.051204,112,1872.948956
88.69949,94,1885.563339
92.265507,93,1896.05797
136.818329,222,1922.965987
123.605967,126,1939.215348
68.086615,77,1947.98388
-7.645607,31,1951.657646
134.724491,166,1967.866176
83.227182,78,1977.304374
134.935252,154,1992.143106
115.745164,101,2001.003169
92.101141,81,2009.402193
-1.058267,61,2014.933742
104.524392,146,2030.513652
78.96615,78,2038.623988
121.867451,119,2048.536616
140.977433,133,2061.065533
105.649592,79,2068.251209
3.56967,64,2071.714771
123.211868,159,2086.001372
103.539452,99,2094.915931
48.191889,117,2103.10424
109.823794,102,2112.529491
139.068627,191,2128.145356
103.155173,91,2136.159901
34.176744,106,2146.292646
42.797149,100,2156.900521
131.574914,177,2175.75835
104.319143,77,2181.189094
113.903297,85,2188.488797
101.587135,77,2195.003656
32.822158,100,2205.521124
74.990877,48,2211.294794
100.167918,81,2220.525422
-0.025079,37,2226.564616
48.871555,142,2240.467172
87.782689,77,2249.205903
60.082384,158,2264.168313
86.404281,64,2269.805261
143.969915,195,2294.104131
90.617372,68,2302.144379
129.074169,127,2315.594037
30.460826,107,2327.219654
87.009163,73,2337.645605
66.48148,206,2361.463236
120.953653,185,2378.364075
69.648947,186,2394.533743
170.06804,238,2414.41958
79.745478,225,2430.537687
93.337072,79,2438.13496
-7.033008,39,2442.524677
148.887282,340,2469.971872
83.494564,165,2481.61036
129.797707,180,2495.526132
259.198768,507,2528.610609
92.59748,78,2534.140501
93.841338,88,2542.161086
14.611933,59,2544.297386
208.832378,349,2567.012092
289.658289,510,2603.756762
119.008977,245,2628.841541
153.584597,226,2650.438639
131.664056,174,2669.035023
51.97389,147,2683.766728
92.002585,77,2690.358278
112.328476,100,2699.323385
126.960453,144,2711.583899
109.190754,142,2722.222636
-3.225401,35,2726.425995
111.123305,113,2738.911766
133.136559,146,2752.131219
121.522852,114,2763.106718
107.091956,98,2772.384684
142.223815,164,2785.698152
128.052935,137,2796.503363
0.808091,23,2798.249645
140.191441,161,2812.72919
114.114663,88,2822.370824
-10.168045,29,2825.341312
114.854604,112,2839.232642
95.464991,93,2848.49492
126.271957,137,2859.999792
156.73602,202,2879.340265
123.606374,121,2892.763207
100.977502,81,2901.671564
8.037429,79,2908.849365
103.889985,80,2916.494661
105.341185,87,2926.660969
109.455916,94,2938.493506
121.193921,102,2950.881549
106.1694,103,2964.300011
-4.518421,31,2967.39704
108.1509,99,2978.986404
105.516118,113,2990.942079
97.004806,78,3001.398359
114.597696,101,3012.542029
103.49813,110,3024.269599
120.949838,112,3034.584997
112.130259,101,3047.221412
110.389291,101,3058.672342
114.24606,103,3069.895896
149.617686,208,3090.656089
84.664496,93,3099.288505
98.861272,79,3109.81888
144.895685,188,3127.830963
117.745408,129,3141.364698
107.725439,92,3150.52274
101.244836,85,3159.268748
166.745475,241,3181.43592
36.683828,119,3191.903095
103.737753,100,3201.839904
113.270349,100,3210.631486
180.427565,319,3239.239407
92.637344,75,3246.823437
119.291841,96,3254.702351
110.903508,103,3265.311419
116.604178,140,3276.83433
128.050882,178,3292.355995
118.028525,126,3310.096325
120.059135,96,3319.323608
131.571719,130,3332.283193
125.445506,118,3345.588431
136.236303,190,3366.217513
183.164303,295,3394.783197
112.261913,126,3408.277245
160.437029,235,3425.07846
1.287069,47,3430.866276
129.433145,123,3446.421261
90.870979,76,3453.340391
120.302473,106,3468.302687
98.650243,74,3475.397296
9.671137,54,3482.951093
116.184983,123,3497.483492
106.467459,98,3506.727053
20.185066,68,3513.54881
114.505176,90,3525.44686
111.618961,86,3532.761516
109.550312,89,3543.525012
122.572236,113,3557.354069
2.611677,51,3563.474753
116.727198,125,3578.613503
221.993574,403,3623.002633
117.102011,104,3633.036779
96.51066,71,3642.138345
108.686092,84,3654.523651
103.741361,87,3666.894804
112.152285,95,3680.170523
150.802512,204,3701.660689
109.417689,87,3713.476271
128.152011,143,3727.902838
107.424106,95,3743.173891
103.306827,84,3752.719608
123.364768,108,3765.086378
-5.132539,30,3768.631517
102.587032,77,3779.057941
98.127351,73,3789.924913
4.423444,45,3793.967596
99.609437,82,3805.956953
122.444001,119,3823.120923
97.125243,80,3833.576503
106.070595,79,3844.591961
108.605177,92,3857.6679
103.342545,94,3869.210965
114.236282,89,3879.490179
107.394362,81,3891.157738
108.869804,74,3902.554848
102.636616,75,3913.550705
0.250672,26,3920.302164
103.237263,74,3931.148738
108.84817,86,3940.667545
114.761382,90,3952.477768
118.328282,125,3968.117656
104.196167,79,3978.57793
100.063913,77,3987.97781
104.64057,79,3999.010474
105.157534,75,4004.960686
119.646765,104,4018.915655
122.225231,109,4031.396219
123.925541,107,4045.439444
136.024855,159,4064.073781
104.215827,77,4073.762474
126.517563,141,4087.566767
111.81311,97,4100.828015
138.702908,126,4114.364964
113.985272,95,4125.829026
101.455169,85,4138.080309
104.617605,95,4149.063268
1.519644,26,4154.25067
115.625568,88,4164.938089
92.103377,70,4174.526732
95.183843,79,4185.565706
103.391005,78,4195.278857
103.022214,80,4206.470764
148.587986,168,4227.923846
89.189954,79,4236.19571
110.619892,97,4248.24782
104.433432,77,4258.57972
109.284362,81,4272.432877
109.174388,77,4283.36203
0.860608,29,4285.780935
104.273783,74,4297.171139
99.466142,71,4307.931445
112.161981,84,4319.118053
130.385916,121,4332.710286
117.416896,114,4346.969434
116.01378,99,4359.105623
25.885439,67,4369.280514
102.526486,75,4379.161417
122.971218,103,4391.342679
87.438795,67,4400.406215
96.985988,71,4410.207416
105.653324,76,4420.110333
108.833335,83,4434.545776
95.061157,76,4441.563426
103.731484,81,4452.694108
108.924077,112,4467.789558
104.870984,73,4478.094857
106.821658,79,4488.038665
97.130704,79,4499.598678
3.717863,41,4502.407636
93.056752,76,4512.824054
102.475296,74,4522.637842
100.909712,79,4531.424912
99.683713,84,4543.818011
104.368277,86,4556.22268
106.943623,77,4567.303715
9.357223,48,4573.626832
116.609958,90,4585.550819
119.287078,103,4599.325879
147.538163,178,4617.583156
109.557782,84,4629.268167
100.611776,74,4640.665116
112.239439,95,4653.310882
122.647775,109,4667.901471
99.252386,71,4678.231499
18.234659,63,4686.505478
100.371114,80,4697.502277
96.416251,76,4709.11401
94.579837,71,4720.567622
117.25537,88,4732.238448
108.942999,76,4744.315141
109.336046,101,4758.273713
82.932429,50,4766.33512
121.799066,101,4777.973718
106.683986,95,4790.651509
120.852465,106,4805.233585
100.619641,71,4815.589163
96.051575,68,4825.190338
104.000307,80,4834.640076
102.063285,75,4845.199988
110.218452,79,4856.207222
105.879537,78,4867.573021
110.922405,90,4881.011304
114.407937,98,4895.530124
106.060245,70,4902.327776
100.54504,68,4911.489084
94.522282,65,4922.444038
83.08489,60,4931.898673
94.209506,73,4941.101646
92.42699,65,4951.178216
112.901019,98,4962.838829
109.212485,83,4977.249633
5.283103,37,4980.402634
108.212385,96,4992.991314
106.964608,92,5004.716524
26.110448,84,5016.505939
111.603443,101,5029.855893
105.839924,70,5040.089803
92.475722,71,5050.979769
103.768541,75,5061.380679
106.923315,87,5074.337481
117.383512,94,5086.318137
109.635458,78,5097.370177
107.331736,76,5108.311699
105.116594,79,5119.309272
100.298402,73,5126.878032
129.23462,125,5141.516843
102.738847,72,5151.678231
110.799482,77,5161.058372
117.58276,86,5171.138608
107.843173,82,5181.580414
104.518942,78,5192.519015
100.766318,76,5203.448381
106.169896,87,5215.796088
117.219225,105,5228.77449
97.800541,70,5239.450981
121.36006,95,5252.008139
135.114724,121,5266.76938
109.384598,97,5279.272292
104.891909,77,5290.220785
3.168279,27,5294.294268
106.61349,78,5305.374673
138.138496,149,5326.566202
115.813351,85,5339.475852
104.908501,73,5350.38007
104.565934,79,5362.465756
102.712804,71,5372.695217
116.011824,95,5385.276476
105.289395,97,5402.796521
9.717313,50,5409.784324
106.458793,82,5420.117058
99.712733,68,5430.850922
100.483547,67,5441.035323
118.238866,91,5453.974679
6.723041,26,5457.43688
131.346638,136,5472.215368
103.606582,78,5485.060364
106.8295,70,5494.220531
121.921076,88,5506.619102
93.844165,69,5517.46806
108.092483,74,5527.790541
98.297681,74,5537.037201
108.761251,76,5549.047566
119.654105,95,5560.953129
103.609386,74,5572.479952
100.80379,96,5583.917631
127.842491,94,5596.00172
96.683136,74,5606.870301
93.958607,61,5616.283933
106.081242,81,5626.358268
141.718282,168,5646.422152
119.092299,105,5659.36155
107.237494,78,5669.840558
105.596837,73,5682.469658
115.479922,82,5695.186359
93.692244,64,5703.097409
98.896435,69,5712.304652
104.899373,71,5723.724274
108.251239,78,5736.449975
113.696806,79,5747.945451
6.71549,49,5754.848759
113.241373,87,5767.171993
100.60132,69,5776.341597
99.750109,73,5786.105906
124.796848,100,5802.135456
12.295722,54,5806.901744
105.620119,72,5819.947003
113.456718,101,5835.376082
119.699475,79,5849.208089
122.447352,108,5861.107315
108.455127,85,5872.347937
108.590159,77,5883.512345
94.069146,70,5893.047987
96.740604,67,5902.645814
127.977368,116,5917.035774
113.152596,79,5928.114394
112.776855,94,5939.528421
108.145831,70,5949.839951
107.595331,92,5962.394619
107.211704,82,5973.170138
101.285212,81,5984.229463
106.613922,84,5995.501062
5.014549,25,5998.968292
113.304702,88,6011.869277
131.159416,98,6023.951921
105.710597,83,6033.995124
99.857505,67,6043.041347
123.366376,109,6056.710423
140.163509,134,6073.163139
114.639927,80,6084.382412
105.707061,75,6094.879984
116.619011,86,6105.445502
118.031561,96,6117.493623
105.841719,91,6130.137471
104.540245,80,6142.270633
3.875268,26,6144.658105
102.25938,64,6155.389497
114.229357,77,6161.980702
118.791778,84,6173.084691
121.92581,90,6185.518528
116.583489,77,6196.281178
131.240975,112,6208.096992
106.079809,72,6217.861942
204.75129,277,6243.485865
96.362851,69,6249.804051
123.765194,105,6263.389623
104.533442,77,6272.717242
92.989741,62,6279.979507
109.814352,83,6291.640034
118.92069,101,6300.968709
119.635104,82,6309.950655
115.739522,112,6324.083713
105.633659,82,6332.888511
107.148618,81,6345.52171
100.379595,69,6353.978158
110.08129,83,6365.115529
114.098397,81,6375.114804
120.053423,93,6386.454887
103.687237,78,6396.937761
107.388729,79,6406.265454
107.71412,107,6419.700749
110.446336,96,6433.981212
109.77766,72,6444.913439
112.068279,86,6454.518831
116.722081,81,6464.523453
99.672401,69,6475.255896
110.129143,82,6487.055907
120.437594,80,6498.794642
112.65017,93,6512.368239
123.97004,88,6524.197671
102.691368,71,6535.615121
102.390422,72,6546.553827
108.691159,72,6556.879017
114.370148,75,6567.887757
113.487882,78,6577.304991
112.701902,79,6589.320032
109.146835,75,6597.493449
83.721216,61,6607.519884
124.269307,83,6618.449779
103.379731,66,6628.471174
100.882979,68,6637.617223
123.150957,94,6651.345189
109.726079,76,6661.238013
117.159164,81,6672.227971
124.845487,97,6685.278899
106.767629,73,6694.953602
102.907145,64,6704.570744
86.381558,51,6712.128012
114.828329,78,6721.939735
117.560555,77,6732.895301
113.33155,76,6744.375252
106.441593,73,6756.27952
114.853346,82,6766.400753
115.958174,77,6775.301908
122.897704,88,6787.304554
112.410612,73,6798.749225
97.152688,65,6807.66535
113.600477,75,6818.562292
2.585945,27,6822.667005
105.149621,73,6833.567698
114.129111,75,6843.886465
157.593127,179,6865.396414
110.588779,76,6875.719223
100.397904,71,6886.367663
3.450199,27,6891.089211
111.41904,77,6899.390092
119.098843,86,6909.491084
108.693,69,6918.458894
110.498619,74,6928.837744
101.736687,65,6938.385385
107.534919,75,6948.791303
129.328326,116,6959.818762
127.40997,103,6970.468073
108.469856,72,6981.470683
117.10395,74,6991.186114
132.376543,104,7001.912924
98.655786,88,7011.33807
115.733254,86,7020.367293
123.797449,100,7035.927477
119.13754,97,7046.889927
113.993253,77,7055.669012
104.821154,75,7065.579603
123.755785,92,7078.143929
116.922806,87,7090.915839
115.133755,91,7101.793099
121.40025,85,7112.474598
110.153908,73,7122.76816
106.960357,71,7133.034457
111.259171,86,7143.52552
118.301549,90,7154.877331
117.311296,79,7167.502987
106.796583,78,7177.289568
113.555452,76,7190.505596
107.636621,75,7200.347554
109.728017,80,7210.96761
121.150937,83,7223.712098
107.663091,74,7233.511832
109.508305,78,7244.478891
111.955522,71,7256.413679
116.634967,77,7267.962138
111.640551,71,7276.621827
106.552368,74,7287.915484
119.294514,83,7301.760502
106.55339,70,7312.565404
